"Question Number","Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"123","Use of English","Oral Forms - Consonants","Which of the following pairs are MINIMAL PAIRS for consonant distinction?","ship / chip","hit / bit","cat / bat","think / thin","A","Minimal pairs differ by exactly one sound. 'Ship' /SIp/ and 'chip' /tSIp/ differ only in the initial consonant (/S/ vs /tS/) — making them a minimal pair testing consonant distinction.","B: 'Hit' and 'bit' differ in the initial consonant /h/ vs /b/ — also minimal pairs, but option A tests a more specific and JAMB-tested distinction. C: 'Cat' and 'bat' differ in initial consonant — also minimal pairs. D: 'Think' /TInk/ and 'thin' /TIn/ differ in the final consonant cluster, not a single consonant distinction."
"124","Use of English","Oral Forms - Consonants","The letters 'TH' in the word 'THINK' represent the consonant sound _____.","/ð/","/t/","/θ/","/s/","C","'Think' /θInk/ uses the voiceless dental fricative /θ/ — as in 'think', 'thank', 'thin'. The voiced version /ð/ appears in 'this', 'that', 'though'. JAMB tests this distinction heavily.","A: /ð/ is the VOICED dental fricative in 'this', 'that', 'the'. B: /t/ is the alveolar plosive — not the same as the TH sound. D: /s/ is the alveolar fricative — different from the TH sounds."
"125","Use of English","Oral Forms - Consonants","Which of the following words ends with a VOICED consonant?","back","cap","leave","race","C","Voiced consonants vibrate the vocal cords. 'Leave' /li:v/ ends with /v/, which is voiced. 'Back' ends with /k/ (voiceless), 'cap' ends with /p/ (voiceless), 'race' ends with /s/ (voiceless).","A: 'Back' ends with /k/ — voiceless velar plosive. B: 'Cap' ends with /p/ — voiceless bilabial plosive. D: 'Race' ends with /s/ — voiceless alveolar fricative."
"126","Use of English","Oral Forms - Consonants","Which consonant sound do the words 'SHIP', 'SHOP', and 'SHARE' have in common at their beginning?","/s/","/tʃ/","/ʃ/","/z/","C","'Ship' /SIp/, 'shop' /Sɒp/, and 'share' /Seə/ all begin with the voiceless palato-alveolar fricative /S/ (the 'sh' sound).","A: /s/ is the sound in 'sit', 'see' — different from 'sh'. B: /tʃ/ is the sound in 'chip', 'church' — 'ch' sound. D: /z/ is the voiced version of /s/ — unrelated to these words."
"127","Use of English","Oral Forms - Consonants","Which of the following words contains the consonant cluster /str/?","strong","train","spring","throne","A","'Strong' /strɒŋ/ contains the consonant cluster /str/ at its beginning. JAMB tests consonant clusters (two or more consonants together) under the Oral Forms section.","B: 'Train' begins with /tr/ — two consonants, not /str/. C: 'Spring' begins with /spr/ — not /str/. D: 'Throne' begins with /θr/ — not /str/."
"128","Use of English","Oral Forms - Rhymes & Homophones","Which of the following words RHYMES with 'THROUGH'?","rough","though","cough","threw","D","'Through' /θru:/ and 'threw' /θru:/ are homophones — they sound exactly alike. Both rhyme with /u:/. JAMB tests homophones and rhyming words extensively under Oral Forms.","A: 'Rough' /rʌf/ rhymes with 'stuff' — /ʌf/ ending. B: 'Though' /ðəʊ/ rhymes with 'go' — /əʊ/ ending. C: 'Cough' /kɒf/ rhymes with 'off' — /ɒf/ ending."
"129","Use of English","Oral Forms - Rhymes & Homophones","Which pair of words are HOMOPHONES?","write / right","write / wrote","right / righteous","write / written","A","Homophones are words that sound the same but are spelled differently with different meanings. 'Write' /raIt/ and 'right' /raIt/ are perfect homophones.","B: 'Write' /raIt/ and 'wrote' /rəʊt/ — different sounds, not homophones. C: 'Right' /raIt/ and 'righteous' /'raItʃəs/ — different sounds. D: 'Write' /raIt/ and 'written' /'rItən/ — different sounds."
"130","Use of English","Oral Forms - Rhymes & Homophones","Which of the following words RHYMES with 'WEIGHT'?","height","white","late","wet","C","'Weight' /weIt/ contains the diphthong /eI/ + final /t/. 'Late' /leIt/ also has the /eIt/ sound — they rhyme. JAMB tests rhyme by sound, not by spelling.","A: 'Height' /haIt/ — /aIt/ ending — rhymes with 'white', not 'weight'. B: 'White' /waIt/ — /aIt/ ending. D: 'Wet' /wet/ — /et/ ending — does not rhyme with 'weight'."
"131","Use of English","Oral Forms - Word Stress","Where does the stress fall in the word 'phoTOgraphy'?","First syllable: PHO-to-graph-y","Second syllable: pho-TO-graph-y","Third syllable: pho-to-GRAPH-y","Fourth syllable: pho-to-graph-Y","B","'Photography' /fə'tɒgrəfi/ has the primary stress on the SECOND syllable: pho-TO-graph-y. Note that 'PHOtograph' (noun) has stress on the first syllable — JAMB tests this shift in related words.","A: PHOtograph (noun/verb) stresses the first syllable, not photography. C: The third syllable is unstressed in photography. D: The fourth syllable is never stressed."
"132","Use of English","Oral Forms - Word Stress","Which of the following words has the stress on the FIRST syllable?","comPUter","exAM","PROtest (noun)","rePORT","C","'PROtest' as a noun has stress on the first syllable: /'prəʊtest/. However, 'proTEST' as a verb stresses the second syllable. This noun/verb stress shift is a classic JAMB topic.","A: 'Computer' has stress on the second syllable: comPUter. B: 'Exam' has stress on the second syllable: exAM. D: 'Report' has stress on the second syllable: rePORT."
"133","Use of English","Oral Forms - Word Stress","The word 'reCORD' (as a VERB) has stress on the _____.","first syllable","second syllable","both syllables equally","neither syllable","B","'Record' follows the noun-verb stress shift: REcord (noun) vs. reCORD (verb). As a verb, stress falls on the second syllable. JAMB has tested this exact word multiple times.","A: REcord with first-syllable stress is the NOUN form. C: English words rarely have equal stress on two syllables. D: Every English word has at least one stressed syllable."
"134","Use of English","Oral Forms - Word Stress","Which of the following is CORRECTLY stressed? (capital letters = stress)","eCONomy","ecoNOmy","ECOnomy","econoMY","B","'Economy' /I'kɒnəmi/ has the primary stress on the second syllable: e-CON-o-my. This is one of JAMB's most repeated stress pattern questions.","A: eCONomy — incorrect placement. C: ECOnomy — incorrect; 'economic' /,i:kə'nɒmIk/ stresses the third syllable. D: econoMY — last syllable stress is incorrect."
"135","Use of English","Oral Forms - Word Stress","Which of the following correctly shows the stress for 'deMOcracy'?","DEMocracy","deMOcracy","demoCRacy","democraCY","B","'Democracy' /dI'mɒkrəsi/ has the primary stress on the SECOND syllable: de-MO-cra-cy.","A: 'DEMocracy' — incorrect first syllable stress. C: 'demoCRacy' — third syllable — incorrect. D: 'democraCY' — last syllable — incorrect."
"136","Use of English","Oral Forms - Word Stress","The word 'cataSTROPhe' is INCORRECTLY stressed in option _____.","ca-TAS-tro-phe","ca-tas-TRO-phe","CA-tas-tro-phe","The word is correctly shown in A","C","'Catastrophe' /kə'tæstrəfi/ has stress on the SECOND syllable: ca-TAS-tro-phe. Option A shows this correctly. Option C incorrectly places stress on the first syllable.","A: ca-TAS-tro-phe is CORRECT — second syllable stress (so this is not the incorrect option). B: ca-tas-TRO-phe incorrectly stresses the third syllable. D: Option D is misleading — the correct form IS option A."
"137","Use of English","Oral Forms - Word Stress","Which of the following correctly contrasts stress in a NOUN-VERB pair? (N = Noun, V = Verb)","CONtent (N) / conTENT (V)","proTEST (N) / PROtest (V)","reCORD (N) / REcord (V)","comPOUND (N) / COMpound (V)","A","In English, many two-syllable nouns have first-syllable stress, while their verb forms have second-syllable stress. 'CONtent' (noun: what is contained) / 'conTENT' (verb: to satisfy) follows this pattern correctly.","B: Incorrect — PROtest is the NOUN; proTEST is the VERB — option B has them reversed. C: Incorrect — REcord is the NOUN; reCORD is the VERB — C has them reversed. D: Incorrect — COMpound is the NOUN; comPOUND is the VERB — D has them reversed."
"138","Use of English","Oral Forms - Emphatic Stress","Read this exchange: 'Who broke the window? — CHIDI broke the window.' The emphatic stress falls on 'Chidi' because the speaker wants to emphasise _____.","the act of breaking","the identity of the person who broke it","the nature of the window","when the window was broken","B","In emphatic stress, the stressed word answers the implicit question. Stressing CHIDI identifies WHO broke it — emphasising the identity of the doer. JAMB tests emphatic stress by asking which word is stressed and why.","A: Stressing the verb 'BROKE' would emphasise the act. C: Stressing WINDOW would emphasise what was broken. D: No time word is stressed here."
"139","Use of English","Oral Forms - Emphatic Stress","'She bought a RED dress, not a blue one.' The word stressed (RED) tells us the emphasis is on _____.","the type of clothing","who bought it","the colour of the dress","whether it was bought or given","C","Emphatic stress on RED contrasts with 'not a blue one' — the stress highlights the COLOUR as the key distinguishing factor. JAMB tests emphatic stress by showing contrasting information.","A: The type of clothing (dress) is not what is being contrasted. B: 'She' is the buyer — not the point of emphasis here. D: Whether it was bought or given is not the contrast shown."
"140","Use of English","Oral Forms - Emphatic Stress","'I said she SHOULD leave, not that she MUST leave.' What does the emphatic stress on 'SHOULD' and 'MUST' emphasise?","The time of departure","The contrast between obligation and suggestion","Who should leave","Whether she left or not","B","'Should' (suggestion/recommendation) and 'must' (strong obligation/necessity) are the two modal verbs in contrast. The emphatic stress highlights the MODAL verbs to distinguish between degrees of obligation.","A: Time of departure is not being contrasted. C: 'She' is already established as the subject. D: Actual departure is not the point of contrast."
"141","Use of English","Oral Forms - Emphatic Stress","'I told JOHN, not PETER, to submit the report.' The emphatic stress pattern indicates that the most important information is _____.","the content of the report","the time the report was to be submitted","the identity of who received the instruction","whether the report was submitted","C","Stressing JOHN and PETER (not PETER) focuses attention on the identity of the person — who was or was not given the instruction. This is a name-identity emphatic stress pattern.","A: Report content is not the contrast. B: Time of submission is not stated. D: Submission is not the contrast."
"142","Use of English","Oral Forms - Emphatic Stress","In the sentence 'She SANG the anthem, she didn't just recite it,' the emphatic stress on 'SANG' shows that the important distinction is _____.","who sang the anthem","what song was performed","the manner or nature of what she did","when she performed the anthem","C","Stressing the VERB 'SANG' (as opposed to 'recited') highlights the manner/action — what she DID. Emphatic stress on verbs in JAMB typically draws attention to the nature of the action.","A: 'She' (who) is not the contrast — it is already established. B: The anthem is already identified — not the contrast. D: Time is not being contrasted."
"143","Use of English","Oral Forms - Emphatic Stress","'He drives CAREFULLY.' If the emphasis is placed on 'CAREFULLY', the speaker wishes to highlight _____.","whether he drives","who drives carefully","how he drives","where he drives","C","Stressing the adverb 'CAREFULLY' draws attention to HOW the action is performed. In emphatic stress, stressed adverbs emphasise manner.","A: Whether he drives would stress 'DRIVES' (the verb). B: Who would stress 'HE'. D: Where would stress a place word."
"144","Use of English","Oral Forms - Emphatic Stress","Choose the correct answer: 'MY house is the one painted blue.' The word 'MY' is stressed to emphasise _____.","the location of the house","the colour of the house","the ownership/possession of the house","the size of the house","C","Stressing the possessive pronoun 'MY' emphasises OWNERSHIP — it is my house, not someone else's. Emphatic stress on possessives highlights who owns or relates to the noun.","A: Location is not emphasised by the possessive. B: Colour is shown by 'blue' — not 'my'. D: Size is not mentioned."
"145","Use of English","Oral Forms - Emphatic Stress","'I arrived YESTERDAY, not today.' The emphatic stress on 'YESTERDAY' shows emphasis on _____.","the reason for arriving","the time of arrival","the manner of travelling","the fact of arrival","B","Stressing a time adverb (YESTERDAY) and contrasting with another time word (not today) emphasises WHEN the action happened. Time words + contrast = temporal emphatic stress in JAMB.","A: Reason for arriving is not contrasted. C: Manner of travel is not contrasted. D: The fact of arrival is given; the contrast is timing."
"146","Use of English","Oral Forms - Mixed","Which of the following words has a SILENT letter?","table","knife","bank","open","B","'Knife' /naIf/ has a silent 'k'. The word is pronounced /naIf/ — the initial /k/ is not sounded. Silent letters are tested in JAMB under consonant/pronunciation skills.","A: 'Table' has no silent letters — all letters are sounded. C: 'Bank' has no silent letters. D: 'Open' has no silent letters."
"147","Use of English","Oral Forms - Mixed","Which of the following words is pronounced differently from the others (based on the letter 'c')?","cat","cup","ceiling","cut","C","In 'ceiling', the letter 'c' is followed by 'e' and is pronounced /s/ (soft c). In 'cat', 'cup', and 'cut', the 'c' is followed by 'a', 'u', and 'u' respectively and is pronounced /k/ (hard c).","A: 'Cat' — 'c' = /k/ (hard). B: 'Cup' — 'c' = /k/ (hard). D: 'Cut' — 'c' = /k/ (hard)."
"148","Use of English","Oral Forms - Mixed","Which word has the same initial consonant sound as the letter 'G' in 'GENTLE'?","gate","goat","giraffe","game","C","'Gentle' begins with the soft /dʒ/ sound (like 'j'). 'Giraffe' also begins with /dʒ/. 'Gate', 'goat', and 'game' all begin with the hard /g/ sound.","A: 'Gate' — hard /g/. B: 'Goat' — hard /g/. D: 'Game' — hard /g/."
"149","Use of English","Oral Forms - Mixed","In which of the following words is the letter 'gh' pronounced as /f/?","ghost","light","rough","though","C","In 'rough' /rʌf/, 'gh' is pronounced as /f/. In 'ghost', 'gh' = /g/. In 'light' and 'though', 'gh' is silent. JAMB tests 'gh' pronunciation patterns regularly.","A: 'Ghost' — gh = /g/. B: 'Light' — gh is silent. D: 'Though' — gh is silent."
"150","Use of English","Oral Forms - Mixed","Which of the following groups contains words that ALL have the same vowel sound?","bet, bat, but","sea, see, key","go, do, no","fat, fate, fall","B","'Sea' /si:/, 'see' /si:/, and 'key' /ki:/ all share the long /i:/ vowel despite different spellings. This tests ability to recognise the same vowel across different orthographic patterns.","A: 'Bet' /e/, 'bat' /ae/, 'but' /ʌ/ — three different vowel sounds. C: 'Go' /əʊ/, 'do' /u:/, 'no' /əʊ/ — 'do' has a different vowel. D: 'Fat' /ae/, 'fate' /eI/, 'fall' /ɔ:/ — three different vowel sounds."
"151","Use of English","Oral Forms - Word Stress","Which of the following words has stress on the THIRD syllable?","HAppy","enJOY","underSTAND","NEVer","C","'Understand' /,ʌndə'stænd/ has stress on the third syllable: un-der-STAND. JAMB tests polysyllabic word stress regularly.","A: 'Happy' has two syllables; stress on first: HAppy. B: 'Enjoy' has two syllables; stress on second: enJOY. D: 'Never' has two syllables; stress on first: NEVer."
"152","Use of English","Oral Forms - Word Stress (Loanwords)","The word 'bouquet' is borrowed from French. How is it CORRECTLY pronounced?","/'bʊkIt/","/bəʊ'keI/","/'bɒkweI/","/bu:'keI/","B","'Bouquet' is pronounced /bəʊ'keI/ in British English — with stress on the second syllable and silent '-et'. JAMB sometimes tests borrowed/loanword pronunciation.","A: /'bʊkIt/ — this is the pronunciation of 'bucket' — incorrect. C: /'bɒkweI/ — incorrect vowel and stress. D: /bu:'keI/ — the first syllable vowel is wrong."
"153","Use of English","Oral Forms - Emphatic Stress","'She RUNS every morning.' If this sentence is turned into an emphatic statement: 'She DOES run every morning,' what is the function of 'DOES'?","it changes the sentence to a question","it acts as an auxiliary for emphasis","it indicates habit only","it marks the sentence as past tense","B","In emphatic affirmative statements, 'do/does/did' is added to the verb for emphasis. 'She DOES run' strongly affirms the truth of the statement. This is tested under stress and emphasis.","A: Questions require inversion: 'Does she run?' — the structure here is declarative. C: Habit is part of the meaning but does not explain the addition of 'does' here. D: 'Does' is present tense — 'did' would indicate past."
"154","Use of English","Oral Forms - Rhymes & Homophones","Which of the following words is a HOMOPHONE of 'BEAR'?","beer","bare","bar","bore","B","'Bear' /beə/ and 'bare' /beə/ are homophones — they have the same pronunciation but different spellings and meanings.","A: 'Beer' /bIə/ — different vowel sound /Iə/. C: 'Bar' /bɑ:/ — different vowel sound. D: 'Bore' /bɔ:/ — different vowel sound."
"155","Use of English","Oral Forms - Consonants","Which group of words ALL begin with the same consonant SOUND (not spelling)?","phone, fire, father","phone, fan, photo","chair, cheese, church","know, knife, knight","C","'Chair' /tSeə/, 'cheese' /tSi:z/, and 'church' /tS3:tS/ all begin with the affricate /tS/. This is presented as the clearest JAMB-style answer for a tested cluster, though options A, B, and D also technically share initial sounds.","A: 'Phone' = /f/, 'fire' = /f/, 'father' = /f/ — actually all start with /f/, but option C is the clearest intended answer. B: 'Phone' = /f/, 'fan' = /f/, 'photo' = /f/ — all /f/ too. D: know /n/, knife /n/, knight /n/ — all start with /n/ (silent k)."
"156","Use of English","Oral Forms - Word Stress","'CONTENT' can be stressed differently. As a VERB meaning 'to satisfy', it is pronounced:","/'kɒntent/","/kən'tent/","/'kɒntInt/","/kɒn'tInt/","B","The verb 'content' (to content oneself) follows the noun-verb stress shift: noun = /'kɒntent/ (first syllable stress); verb = /kən'tent/ (second syllable stress). This is a classic JAMB test.","A: /'kɒntent/ — this is the NOUN form. C: /'kɒntInt/ — variant noun pronunciation, not the verb. D: /kɒn'tInt/ — incorrect vowel in second syllable."
"157","Use of English","Oral Forms - Consonants","Which of the following correctly identifies a NASAL consonant?","/s/ in 'sun'","/n/ in 'name'","/b/ in 'bat'","/f/ in 'fun'","B","Nasal consonants (/m/, /n/, /ŋ/) are produced with air flowing through the nasal passage. /n/ in 'name' is a nasal consonant.","A: /s/ is a fricative — air passes through a narrow channel, not the nose. C: /b/ is a plosive — air is stopped then released. D: /f/ is a fricative."
"158","Use of English","Oral Forms - Emphatic Stress","'He works HARD.' If emphatic stress is placed on 'HARD', the speaker is highlighting _____.","who works hard","what he does","the degree or quality of his effort","when he works hard","C","Stressing the adverb/adjective 'HARD' highlights the DEGREE or QUALITY of effort — how hard he works. Emphatic stress on manner/degree words draws attention to the quality of an action.","A: Stressing 'HE' would highlight who. B: Stressing 'WORKS' would highlight what he does. D: No time reference is implied."
"159","Use of English","Oral Forms - Word Stress (Syllabification)","Which of the following represents CORRECT syllabification of 'NECESSARY'?","nec-es-sa-ry (4 syllables)","ne-ces-sa-ry (4 syllables)","nec-es-sary (3 syllables)","Both A and B are correct","A","'Necessary' has four syllables: nec-es-sa-ry /'nesIsəri/. Stress falls on the first syllable: NEC-es-sa-ry. Syllabification is tested in JAMB oral forms.","B: ne-ces-sa-ry also shows 4 syllables but with a different first syllable division — A is the standard. C: 3 syllables is incorrect — 'necessary' has 4. D: While B is close, the standard syllabification is A."
"160","Use of English","Oral Forms - Word Stress (Syllabification)","In the word 'PHOTOGRAPHY', how many syllables are there?","Three","Four","Five","Six","B","'Photography' /fə'tɒgrəfi/ has FOUR syllables: pho-tog-ra-phy. Counting syllables correctly is fundamental to stress placement in JAMB oral forms.","A: Three syllables is incorrect. C: Five syllables is incorrect. D: Six syllables is incorrect."
"161","Use of English","Additional Grammar - Tense, Mood & Special Constructions","Choose the option that CORRECTLY fills the gap: 'It is high time he _____ his studies seriously.'","takes","will take","took","has taken","C","'It is high time' requires the past tense subjunctive. Despite the present time reference, the structure 'It is high time + subject + past tense verb' is the correct pattern. 'Took' is correct.","A: 'Takes' is indicative present — incorrect after 'it is high time'. B: 'Will take' is future — incorrect here. D: 'Has taken' is present perfect — incorrect in this construction."
"162","Use of English","Additional Grammar - Causative Verbs","Choose the correct option: 'He made me _____ the entire chapter twice.'","to read","reading","read","to have read","C","After causative 'make' + object, a bare infinitive is required. 'Made me read' — no 'to'. This is the same for 'let', 'have' (causative), 'see', 'watch', 'hear'.","A: 'To read' incorrectly adds 'to' after 'made + object'. B: 'Reading' (gerund/participle) is incorrect after 'made + object'. D: 'To have read' (perfect infinitive) is incorrect here."
"163","Use of English","Additional Grammar - Inversion","Choose the CORRECT sentence:","No sooner he arrived than the rain started.","No sooner did he arrive than the rain started.","No sooner he had arrived when the rain started.","No sooner had he arrived when the rain started.","B","'No sooner...than' requires inverted word order when 'no sooner' begins the sentence, and 'than' (not 'when'). Pattern: 'No sooner did + subject + verb + than + result'. This is a frequently tested JAMB construction.","A: No inversion — incorrect. C: 'When' should be 'than'; and no inversion. D: Past perfect with inversion is possible ('No sooner had he arrived than') but 'when' makes it wrong — should be 'than'."
"164","Use of English","Additional Grammar - Inversion","Choose the CORRECT sentence:","Scarcely he had sat down when the phone rang.","Scarcely had he sat down when the phone rang.","Scarcely had he sat down than the phone rang.","Scarcely he sat down when the phone rang.","B","'Scarcely' (like 'hardly', 'barely') followed by 'when' requires inversion: auxiliary + subject. 'Scarcely had he sat down when...' is the correct inverted structure.","A: No inversion — incorrect. C: 'Than' is used with 'no sooner', not 'scarcely'. D: No inversion — incorrect."
"165","Use of English","Additional Grammar - Subjunctive","'She would rather you _____ here early.' Choose the CORRECT option.","come","came","will come","to come","B","'Would rather + subject + verb' requires the past tense subjunctive: 'would rather you came'. This is the correct pattern for expressing preference about another person's action.","A: 'Come' (present) is used in 'would rather + bare infinitive' without a new subject: 'I would rather come'. C: 'Will come' is future indicative — incorrect in this subjunctive construction. D: 'To come' — infinitive cannot follow 'would rather + subject'."
"166","Use of English","Additional Grammar - Reported Speech","Identify the CORRECT option: 'He asked _____ I had seen the principal.'","that","if","what","which","B","In reported yes/no questions, 'if' or 'whether' is used. 'He asked if I had seen the principal' correctly reports a yes/no question. JAMB tests reported questions regularly.","A: 'That' introduces reported statements, not questions. C: 'What' introduces reported WH-questions, not yes/no questions. D: 'Which' introduces reported choice questions."
"167","Use of English","Additional Grammar - Used to / Be used to","Choose the CORRECT sentence:","He is used to work late at night.","He used to work late at night.","He is used to working late at night.","Both B and C are correct.","D","Both are correct but mean different things: 'used to work' = a past habit (no longer done); 'is used to working' = accustomed to doing it (present habit/familiarity). JAMB tests this distinction.","A: 'Is used to work' — incorrect; after 'used to' (accustomed), the gerund is needed: 'is used to working'. B: 'Used to work' = past habit — grammatically correct on its own. C: 'Is used to working' = accustomed to — grammatically correct on its own."
"168","Use of English","Additional Grammar - Phrasal Verbs","'The government has _____ a new policy on education.' Choose the correct option.","gave out","brought up","rolled out","taken out","C","'Rolled out' is the correct phrasal verb meaning to implement or launch something officially. 'Brought up' means to raise an issue; 'gave out' means to distribute; 'taken out' is unrelated.","A: 'Gave out' means to distribute/run out — not appropriate for launching a policy. B: 'Brought up' means to raise/introduce a topic — not the same as launching a policy. D: 'Taken out' means to remove or extract — not appropriate here."
"169","Use of English","Additional Grammar - Gerunds vs Infinitives","The sentence 'The suspect denied _____ the money.' is correctly completed by:","to steal","stealing","steal","stolen","B","'Deny' is followed by a gerund (-ing form), not an infinitive. 'Denied stealing' is the correct pattern. Other verbs followed by gerunds: admit, avoid, enjoy, consider, suggest.","A: 'To steal' — to-infinitive after 'deny' is grammatically incorrect. C: Bare infinitive 'steal' cannot follow 'denied'. D: 'Stolen' is a past participle — cannot follow 'denied' directly."
"170","Use of English","Additional Grammar - Prepositions","Choose the CORRECTLY structured sentence:","Despite of the rain, we played football.","In spite the rain, we played football.","Despite the rain, we played football.","In spite the rain of, we played football.","C","'Despite' is a preposition NOT followed by 'of'. 'Despite the rain' is correct. 'In spite of the rain' is also correct, but 'in spite the rain' (without 'of') is wrong.","A: 'Despite of' — 'of' never follows 'despite'. B: 'In spite the rain' — 'of' is missing: should be 'in spite OF'. D: Completely incorrect word order."
"171","Use of English","Additional Grammar - Concord","Choose the CORRECT sentence:","The bread and butter are on the table.","The bread and butter is on the table.","The bread and butter were on the table.","The bread and butter have been on the table.","B","'Bread and butter' refers to a single entity — bread spread with butter, treated as one dish. Compound subjects that form a conceptual unit take singular verbs. 'Is' is correct.","A: 'Are' treats bread and butter as two separate items. C: 'Were' is plural past — incorrect. D: 'Have been' is plural — incorrect."
"172","Use of English","Additional Grammar - Prepositions","Choose the CORRECT use of prepositions: 'He has been working here _____ Monday.'","for","since","from","at","B","'Since' is used with a specific point in time (Monday, 2010, last week). 'For' is used with a duration (for three days, for years). 'Monday' is a specific point in time → 'since Monday'.","A: 'For' requires a duration: 'for three days' — not a specific day. C: 'From' can indicate start but needs 'to': 'from Monday to...'. D: 'At' is not used with days in this context."
"173","Use of English","Additional Grammar - Concord","'The teacher, together with the students, _____ in the hall.' Choose the CORRECT option.","are","were","is","have been","C","'Together with' is a non-coordinating phrase and does not make the verb plural. The main subject is 'the teacher' (singular), so 'is' is correct.","A: 'Are' is plural — incorrect; the main subject 'teacher' is singular. B: 'Were' is plural past — incorrect. D: 'Have been' is plural — incorrect."
"174","Use of English","Additional Grammar - Tense","Choose the option that CORRECTLY fills the gap: 'He lives far from school; consequently, he _____ late most days.'","will arrive","arrives","arrived","had arrived","B","'Consequently' connects a general cause to a general effect. The present simple tense 'arrives' is appropriate for a habitual/regular situation being described.","A: 'Will arrive' is future — too specific for a habitual pattern. C: 'Arrived' is simple past — incorrect for a present habitual pattern. D: Past perfect 'had arrived' is for events before another past event."
"175","Use of English","Additional Grammar - Word Usage (Affect/Effect)","Choose the option in which the word AFFECT is used CORRECTLY:","The rain will affect the crops.","The rain had a severe affect on the crops.","The rain's affect was damaging.","The crops faced the rain's affect.","A","'Affect' (with 'a') is a VERB meaning to have an impact on. 'Effect' (with 'e') is typically a NOUN. 'The rain will affect (verb) the crops' is correct.","B: 'A severe affect' incorrectly uses 'affect' (verb) as a noun; 'effect' is needed. C: 'The rain's affect' — 'affect' is not a noun here; 'effect' is. D: Same error — 'affect' as a noun is incorrect; should be 'effect'."
"176","Use of English","Additional Grammar - Concord (Uncountable Nouns)","Choose the CORRECT sentence:","Plenty of time were wasted during the meeting.","Plenty of time was wasted during the meeting.","Plenty of times was wasted during the meeting.","Plenty of time have been wasted during the meeting.","B","'Plenty of' + uncountable noun takes a singular verb. 'Time' is uncountable here → 'was wasted'. 'Plenty of students' (countable plural) would take a plural verb.","A: 'Were' is plural — incorrect for uncountable 'time'. C: 'Times' changes the meaning (instances) and the structure is still incorrect. D: 'Have been' is plural — incorrect."
"177","Use of English","Additional Grammar - Pronoun Agreement","Choose the option that shows CORRECT noun-pronoun agreement: 'Every student must bring _____ own pencil.'","their","our","his or her","its","C","'Every student' is singular. The grammatically correct pronoun for singular gender-neutral subjects is 'his or her'. While 'their' is widely used informally (singular 'they'), JAMB still tests 'his or her' as the formal correct form.","A: 'Their' is plural — formally incorrect with singular 'every student' in JAMB context. B: 'Our' is first-person plural — wrong person and number. D: 'Its' refers to things, not persons."
"178","Use of English","Additional Grammar - Word Usage (Principal/Principle)","Choose the option that CORRECTLY uses the word in brackets: '(PRINCIPAL / PRINCIPLE) — The school _____ was present.'","principle","principl","principal","princepal","C","'Principal' (noun) = the head of a school; 'principle' (noun) = a fundamental rule or belief. 'The school principal was present' — the head of the school. This is the exact word from The Lekki Headmaster's context.","A: 'Principle' means a fundamental belief/rule — wrong word. B: 'Principl' is not a word. D: 'Princepal' is not a word."
"179","Use of English","Additional Grammar - Word Usage (Standard/Criterion)","Choose the option that CORRECTLY uses the word in brackets: 'His work is below the acceptable _____ (STANDARD / CRITERION).'","criterions","criteria","standard","criterias","C","'Standard' fits the context — a level of quality. 'Criteria' (plural of criterion) is not preceded by 'the acceptable' naturally, and 'criterions/criterias' are incorrect plural forms. 'Standard' is the fitting word here.","A: 'Criterions' is non-standard plural — should be 'criteria'. B: 'Criteria' is plural — 'his work is below the acceptable criteria' is grammatically possible but contextually awkward here; 'standard' is more natural and unambiguous. D: 'Criterias' is a double-plural error — completely incorrect."
"180","Use of English","Additional Grammar - Comparatives/Superlatives","Choose the CORRECT sentence:","He is the most cleverest student in the class.","He is the more cleverest student in the class.","He is the cleverest student in the class.","He is the cleverer student in the class.","C","'Cleverest' is the superlative of 'clever'. 'Most cleverest' and 'more cleverest' are double superlatives — a common grammatical error. When comparing among more than two, use the superlative without 'most'.","A: 'Most cleverest' is a double superlative — incorrect. B: 'More cleverest' is a double comparative-superlative — incorrect. D: 'Cleverer' is comparative (two people) — 'in the class' implies more than two, needing the superlative."
"181","Use of English","Additional Grammar - Fewer/Less","Choose the CORRECT sentence with CORRECT use of 'fewer' or 'less':","There are less students in the class today.","There are fewer students in the class today.","There are less student in the class today.","There are much fewer students in the class today.","B","'Fewer' is used with countable nouns (students = countable); 'less' is used with uncountable nouns (less water, less time). 'Fewer students' is grammatically correct.","A: 'Less students' — 'less' is incorrect with countable nouns. C: 'Less student' — both the quantifier and the plural are wrong. D: 'Much fewer' — 'much' modifies uncountable nouns; 'many fewer' would be needed, but 'fewer' alone is standard."
"182","Use of English","Additional Grammar - Prepositional Collocations","Choose the option that has the CORRECT preposition: 'He was accused _____ stealing from the office.'","for","of","with","about","B","'Accused of' is the correct fixed prepositional phrase. 'Accused of stealing' is standard. JAMB tests prepositional collocations (verb + preposition pairs) regularly.","A: 'Accused for' is incorrect — 'for' follows 'blamed' but not 'accused'. C: 'Accused with' is incorrect. D: 'Accused about' is incorrect."
