Subject,Topic,Q#,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Why Other Options Are Wrong
Chemistry,Electrolysis,120,Which of the following is NOT a use of electrolysis?,Electroplating of metals,Purification of copper,Extraction of aluminium from bauxite,Fractional distillation of petroleum,D,Fractional distillation of petroleum is a physical separation process based on different boiling points. It does not involve electricity or electrolysis. All the others are direct applications of electrolysis.,A: Electroplating uses electrolysis to coat a metal with a thin layer of another metal. B: Copper purification uses electrolysis with impure Cu anode. C: Al extraction (Hall-Héroult process) uses electrolysis of molten Al2O3.
Chemistry,Electrolysis,121,"During the electrolysis of concentrated NaCl solution (brine), the products at the cathode, anode, and in solution respectively are","Cl2, H2, NaOH","H2, Cl2, NaOH","Na, Cl2, H2O","H2, O2, Na2SO4",B,"Electrolysis of brine: Cathode: 2H2O + 2e- → H2 + 2OH- (or 2H+ + 2e- → H2). Anode: 2Cl- → Cl2 + 2e-. The Na+ and OH- remain in solution forming NaOH. Products: H2 (cathode), Cl2 (anode), NaOH (solution).",A: This reverses cathode and anode products. C: Na metal is not deposited (Na+ is not discharged in aqueous solution). D: O2 would be produced in dilute solution; concentrated NaCl gives Cl2 at anode.
Chemistry,Electrolysis,122,Cathodic protection of iron involves,Painting the iron surface,Coating iron with a more reactive metal (like zinc) that corrodes preferentially,Electroplating with copper,Coating iron with a less reactive metal,B,Cathodic protection (sacrificial protection) connects a more reactive metal (Mg or Zn) to iron. The more reactive metal acts as the anode and corrodes sacrificially while the iron is protected as the cathode. Galvanizing (coating with Zn) works this way.,"A: Painting is a barrier method, not cathodic protection. C: Copper is less reactive than iron — if the copper layer breaks, the iron beneath corrodes faster (galvanic corrosion). D: A less reactive metal coating would not provide cathodic protection."
Chemistry,Electrolysis,123,"In the electrochemical series K, Ca, Na, Mg, Al, Zn, Fe, Sn, Pb, H, Cu, Hg, Ag, Au, which metal is most easily oxidized?",Gold (Au),Potassium (K),Copper (Cu),Hydrogen (H),B,"In the electrochemical series, metals at the top (K, Ca, Na) have the most negative electrode potentials and are most easily oxidized (most reactive). Potassium is at the top of the series given, making it most easily oxidized.","A: Gold is at the bottom — it is the least easily oxidized (most noble metal). C: Copper is below hydrogen, meaning it is less reactive. D: Hydrogen is the reference point (E° = 0); metals above it are more easily oxidized."
Chemistry,Electrolysis,124,The quantity of electricity required to deposit 0.5 mol of Cu from CuSO4 solution is (1F = 96500 C),48250 C,96500 C,193000 C,24125 C,B,Cu2+ + 2e- → Cu. 1 mol Cu requires 2F = 2 × 96500 = 193000 C. Therefore 0.5 mol Cu requires 0.5 × 193000 = 96500 C = 1F.,"A: 48250 C = 0.5F, which would deposit 0.25 mol Cu. C: 193000 C = 2F, which deposits 1 mol Cu. D: 24125 C = 0.25F, far insufficient."
Chemistry,Energy Changes,125,An endothermic reaction is one in which,heat is released to the surroundings (ΔH < 0),heat is absorbed from the surroundings (ΔH > 0),no energy change occurs,the products are at a lower energy than the reactants,B,"In an endothermic reaction, the system absorbs heat energy from the surroundings. ΔH is POSITIVE (ΔH > 0). Products have MORE energy than reactants. Example: dissolution of NH4Cl in water.",A: ΔH < 0 describes an EXOTHERMIC reaction. C: All chemical reactions involve energy changes. D: Products at lower energy = exothermic (energy released).
Chemistry,Energy Changes,126,Which of the following processes is exothermic?,Melting of ice,Dissolution of NH4Cl in water,Dissolution of NaOH in water,Vaporization of ethanol,C,Dissolution of NaOH is exothermic — the solution gets hot. The hydration energy released when Na+ and OH- ions are hydrated exceeds the lattice energy. The JAMB syllabus specifically cites NaOH and Na as examples of exothermic dissolution.,A: Melting (fusion) is endothermic (absorbs heat). B: NH4Cl dissolution is endothermic (solution cools). D: Vaporization is endothermic (absorbs heat to overcome intermolecular forces).
Chemistry,Energy Changes,127,The Gibbs free energy equation is ΔG° = ΔH° - TΔS°. A reaction is spontaneous when,ΔG° > 0,ΔG° = 0,ΔG° < 0,ΔH° > TΔS°,C,A reaction is spontaneous (proceeds without external energy input) when ΔG° < 0 (negative Gibbs free energy change). ΔG° = 0 indicates equilibrium. ΔG° > 0 indicates non-spontaneous.,"A: ΔG° > 0 means the reaction is NON-spontaneous (reverse is spontaneous). B: ΔG° = 0 is the criterion for equilibrium, not spontaneity. D: ΔH° > TΔS° means ΔG° = ΔH°-TΔS° > 0, which is non-spontaneous."
Chemistry,Energy Changes,128,Entropy is a measure of,the heat content of a system,the free energy available to do work,the degree of disorder or randomness in a system,the activation energy of a reaction,C,Entropy (S) is a thermodynamic state function that measures the degree of disorder/randomness. Greater disorder = higher entropy. Gases have higher entropy than liquids; liquids higher than solids.,"A: Heat content (enthalpy, H) is a different thermodynamic quantity. B: Free energy (Gibbs, G) is what does work. D: Activation energy (Ea) is from kinetics, not related to entropy."
Chemistry,Rates of Reaction,129,Increasing the concentration of a reactant in solution generally increases the reaction rate because,the activation energy decreases,more frequent effective collisions occur between reacting particles,the temperature of the solution increases,the particles gain more energy,B,"At higher concentration, there are more reactant particles per unit volume, leading to more frequent collisions between reactant particles. More collisions per unit time means more effective collisions per unit time, hence a faster rate.","A: Concentration does not affect activation energy. C: Increasing concentration does not raise temperature. D: Concentration affects collision frequency, not particle energy."
Chemistry,Rates of Reaction,130,"In the reaction between marble chips (CaCO3) and hydrochloric acid, which modification would give the FASTEST reaction rate?",Large lumps of marble with dilute HCl,Large lumps of marble with concentrated HCl,Powdered marble with concentrated HCl,Powdered marble with dilute HCl,C,"Rate is maximized by combining: (1) powdered marble — maximum surface area for contact, and (2) concentrated HCl — maximum concentration of H+ ions. Both surface area and concentration are increased.",A: Large lumps + dilute HCl = minimum surface area AND minimum concentration = slowest. B: Large lumps reduce surface area. D: Dilute HCl reduces H+ concentration.
Chemistry,Rates of Reaction,131,MnO2 is used as a catalyst in the decomposition of H2O2. This means MnO2,is consumed in the reaction,increases the activation energy,provides an alternative reaction pathway with lower activation energy,increases the energy of reactants,C,"A catalyst works by providing an alternative reaction pathway with a lower activation energy. MnO2 is not consumed (it is regenerated). The lower Ea means more molecules have sufficient energy to react, increasing rate.","A: A catalyst is not consumed; it can be recovered unchanged after the reaction. B: Catalysts LOWER activation energy, not increase it. D: Catalysts lower the Ea barrier; they do not increase reactant energy."
Chemistry,Rates of Reaction,132,Activation energy (Ea) is best defined as,the total energy released in a reaction,the minimum energy that colliding particles must have to result in a successful reaction,the energy difference between products and reactants,the average kinetic energy of molecules,B,Activation energy is the minimum energy that colliding reactant molecules must possess for the collision to result in a chemical reaction (bond breaking and new bond formation). Only molecules with E ≥ Ea react.,A: Total energy released is ΔH (enthalpy change). C: Energy difference between products and reactants is ΔH (enthalpy change). D: Average kinetic energy = (3/2)kT; not activation energy.
Chemistry,Rates of Reaction,133,The effect of light on the halogenation of alkanes is that,light acts as a catalyst that is not consumed,light provides photons that initiate the free radical chain reaction,light increases the temperature of the reaction,light acts as a reactant,B,"Halogenation of alkanes (e.g., CH4 + Cl2 → CH3Cl) requires UV light for initiation. Light provides photons with enough energy to break the Cl-Cl bond homolytically (Cl2 → 2Cl•), producing free radicals that start the chain reaction.","A: Light is not a catalyst; it provides energy that initiates the chain. C: The light effect is photochemical (photon absorption), not thermal. D: Light is an energy source, not a chemical reactant."
Chemistry,Rates of Reaction,134,"In the reaction between HCl and Na2S2O3 (iodine clock-type reaction), the rate is measured by",change in colour of litmus,the time taken for a mark under the flask to become invisible due to sulphur precipitate,measuring the volume of gas produced,change in mass of the flask,B,"In the Na2S2O3 + HCl reaction, colloidal sulphur is produced: Na2S2O3 + 2HCl → 2NaCl + S + SO2 + H2O. The rate is inversely proportional to the time taken for the cloudiness (sulphur) to obscure a cross marked beneath the flask.",A: Litmus colour is not used in this specific experiment. C: No significant gas volume is produced (SO2 dissolves). D: Mass change is negligible and not the standard measurement method.
Chemistry,Rates of Reaction,135,Arrhenius' law qualitatively states that,pressure has no effect on rate,the rate constant increases exponentially with increasing temperature,concentration is the only factor affecting rate,catalysts only work at high temperatures,B,Arrhenius' law (k = Ae^(-Ea/RT)) quantitatively shows that the rate constant k increases exponentially with temperature. A small increase in temperature causes a large increase in rate because the fraction of molecules with E ≥ Ea increases dramatically.,"A: Pressure affects the rate of gaseous reactions (affects concentration). C: Temperature, surface area, and catalyst also affect rate. D: Catalysts work by lowering Ea and are not temperature-restricted."
Chemistry,Rates of Reaction,136,"On a reaction rate curve (concentration vs time), the gradient of the curve at any point represents",the activation energy,the enthalpy change,the instantaneous rate of reaction,the equilibrium constant,C,"The rate of reaction = -d[reactant]/dt (or +d[product]/dt). On a concentration-time graph, the gradient (slope) at any point equals the instantaneous rate at that moment. The curve becomes less steep as reaction slows.",A: Activation energy is from energy profile diagrams (energy vs reaction coordinate). B: Enthalpy change is ΔH from energy level diagrams. D: Equilibrium constant is calculated from equilibrium concentrations.
Chemistry,Rates of Reaction,137,Which of the following statements about a catalyst is INCORRECT?,It is not consumed in the overall reaction,It lowers the activation energy,It changes the position of equilibrium in a reversible reaction,It provides an alternative reaction pathway,C,"A catalyst increases the rate of both the forward AND backward reactions equally. Therefore, it does NOT change the equilibrium position (Kc) — it only helps the system reach equilibrium faster.",A: True — a catalyst is regenerated at the end. B: True — a catalyst lowers Ea. D: True — it provides an alternative mechanism with lower Ea.
Chemistry,Rates of Reaction,138,"In a reaction, doubling the temperature from 300K to 600K causes the rate to increase approximately",2 times,4 times,More than 100 times for a typical reaction,There is no change,C,"For a typical reaction, a 10°C rise doubles the rate. From 300K to 600K is a 300K rise. If rate doubles every 10°C, this gives approximately 2^30 increase — vastly more than 2 or 4 times. In practice, the Arrhenius equation gives very large increases.",A: Doubling the rate corresponds to only ~10°C rise for typical reactions. B: Quadrupling corresponds to ~20°C rise. D: Temperature definitely affects reaction rate.
Chemistry,Chemical Equilibrium,139,"Le Chatelier's principle states that when a system at equilibrium is disturbed, it",will always shift to the right to produce more products,shifts in the direction that opposes the applied change to re-establish equilibrium,will stop reacting until the disturbance is removed,shifts in the direction that increases the disturbance,B,"Le Chatelier's principle: if a stress (change in concentration, pressure, or temperature) is applied to a system at equilibrium, the equilibrium position shifts in the direction that tends to counteract or relieve that stress.","A: The direction of shift depends on the nature of the stress, not always to the right. C: The system does not stop; it shifts to a new equilibrium. D: The system opposes (not increases) the disturbance."
Chemistry,Chemical Equilibrium,140,"In the reaction N2O4(g) ⇌ 2NO2(g), increasing pressure at constant temperature will",shift equilibrium to the right (more NO2),shift equilibrium to the left (more N2O4),have no effect on the equilibrium,increase the equilibrium constant Kc,B,Increasing pressure favours the side with fewer moles of gas. Left side: 1 mol gas; Right side: 2 mol gas. Increased pressure shifts equilibrium to the LEFT (fewer moles of gas = N2O4 side).,"A: Shifting right would produce MORE gas (2 mol), which opposes increased pressure — incorrect. C: Pressure change affects equilibria involving gases with unequal moles. D: Kc is only affected by temperature, not pressure."
Chemistry,Chemical Equilibrium,141,The equilibrium constant K for a reaction is only affected by changes in,Concentration of reactants,Pressure,Presence of a catalyst,Temperature,D,The equilibrium constant K is a thermodynamic quantity that depends only on temperature. Changing concentration or pressure shifts the equilibrium position but K remains the same. A catalyst only speeds up reaching equilibrium without changing K.,A: Concentration changes shift position but K is unchanged. B: Pressure changes shift position but K is unchanged. C: Catalyst speeds up reaching equilibrium but does not change K.
Chemistry,Chemical Equilibrium,142,"In the Haber process for ammonia synthesis: N2 + 3H2 ⇌ 2NH3 (ΔH = -92kJ/mol). To maximize NH3 yield, one should use",High temperature and low pressure,Low temperature and high pressure,High temperature and high pressure,Low temperature and low pressure,B,"Forward reaction: 4 mol gas → 2 mol gas (decrease), so high pressure favours NH3. Forward reaction is exothermic, so lower temperature favours NH3. However, lower temperature slows rate — industry uses ~450°C as a compromise.",A: High temperature shifts equilibrium to left (less NH3); low pressure also gives less NH3. C: High temperature shifts equilibrium left (endothermic direction). D: Low pressure shifts equilibrium to the side with more gas (left = less NH3).
Chemistry,Chemical Equilibrium,143,A reaction at equilibrium can be described as,A reaction that has stopped completely,A state where the rate of the forward reaction equals the rate of the reverse reaction,A reaction with no reactants remaining,A state where concentrations are all equal,B,"Dynamic equilibrium: both forward and reverse reactions continue, but at equal rates. Concentrations remain constant (not necessarily equal) because formation rate equals consumption rate for each species.","A: At equilibrium both reactions continue (dynamic). C: Some reactants always remain at equilibrium (reversible reaction). D: Concentrations are constant, not necessarily equal."
Chemistry,Chemical Equilibrium,144,"When steam reacts with iron: 3Fe + 4H2O ⇌ Fe3O4 + 4H2, removing H2 from the equilibrium mixture will",shift equilibrium to the left,decrease the rate of reaction,"shift equilibrium to the right, producing more Fe3O4",have no effect,C,"Removing a product (H2) reduces its concentration on the right side. By Le Chatelier's principle, the equilibrium shifts to the RIGHT to replace the removed H2, producing more Fe3O4 and consuming more Fe and H2O.","A: Removing product shifts equilibrium to the right, not left. B: The shift to the right maintains or increases rate of forward reaction. D: Changing concentration of a component definitely affects equilibrium."
Chemistry,Non-Metals & Their Compounds,145,Chlorine is prepared in the laboratory by,Burning chlorine gas in excess oxygen,Oxidation of concentrated HCl with MnO2 and heat,Electrolysis of water,Reaction of NaCl with dilute H2SO4,B,Laboratory preparation of Cl2: MnO2 + 4HCl → MnCl2 + Cl2 + 2H2O. MnO2 oxidizes the HCl. The Cl2 produced is dried and collected by upward displacement of air (denser than air).,A: Cl2 is not produced by burning; it is a product of oxidation of HCl. C: Electrolysis of water produces H2 and O2. D: Dilute H2SO4 with NaCl only produces NaHSO4 and HCl gas; concentrated H2SO4 produces HCl (not Cl2).
Chemistry,Non-Metals & Their Compounds,146,The industrial preparation of chlorine is by,Deacon's process (oxidation of HCl with air),Electrolysis of brine (concentrated NaCl solution),Haber process,Contact process,B,"Industrially, chlorine is manufactured by the electrolysis of brine: Chlorine is produced at the anode, hydrogen at the cathode, and NaOH in solution. This is the chlor-alkali process.",A: Deacon's process is historical; the modern method is electrolysis. C: The Haber process produces ammonia (NH3). D: The Contact process produces sulphuric acid.
Chemistry,Non-Metals & Their Compounds,147,The test for a chloride (Cl-) ion in solution involves,Adding BaCl2 solution in dilute HCl,Adding dilute HNO3 then AgNO3 solution; a white precipitate insoluble in excess HNO3 but soluble in NH3,Adding litmus paper,Adding NaOH solution,B,"Test for Cl-: Add dilute HNO3 (to remove carbonate/sulphite interference), then add AgNO3 solution. Cl- + Ag+ → AgCl↓ (white precipitate). AgCl is insoluble in dilute HNO3 but dissolves in dilute NH3 solution.","A: BaCl2 tests for SO4 2-, not Cl-. C: Litmus tests for acidity/alkalinity. D: NaOH tests for metal cations."
Chemistry,Non-Metals & Their Compounds,148,The bleaching action of chlorine is due to,Direct oxidation by Cl2 gas,Formation of nascent oxygen from HOCl (hypochlorous acid) which oxidizes the dye,The acidity of HCl produced,Reduction of the dye by Cl2,B,"Cl2 + H2O → HCl + HOCl. HOCl → HCl + [O] (nascent oxygen). The nascent oxygen is a powerful oxidizing agent that destroys (oxidizes) the coloured organic compounds (dyes), causing bleaching.","A: Cl2 alone cannot bleach — it must be moist (react with water). C: Acidity does not cause bleaching. D: Bleaching is an oxidation process, not reduction."
Chemistry,Non-Metals & Their Compounds,149,Ozone (O3) is important in the atmosphere because it,provides oxygen for breathing,reflects sunlight back to space,"absorbs harmful ultraviolet radiation from the sun, protecting life on Earth",helps in the formation of acid rain,C,"The ozone layer in the stratosphere absorbs UV-B and UV-C radiation from the sun. Without this protection, increased UV radiation would cause skin cancer, cataracts, and damage to ecosystems.","A: O2 (oxygen), not O3, is used for breathing. B: Ozone absorbs UV, not reflects sunlight. D: Ozone is beneficial; it is ozone depletion that is harmful; CFCs/NOx cause acid rain."
Chemistry,Non-Metals & Their Compounds,150,The industrial preparation of H2SO4 by the Contact Process involves which key oxidation step?,S + O2 → SO2,2SO2 + O2 ⇌ 2SO3 (over V2O5 catalyst),SO3 + H2O → H2SO4,H2S + O2 → SO2,B,"The key (and rate-determining) step in the Contact Process is the catalytic oxidation of SO2 to SO3: 2SO2 + O2 ⇌ 2SO3, using a vanadium pentoxide (V2O5) catalyst at 450°C and 1-2 atm. SO3 is then absorbed into oleum.",A: Burning S to SO2 is only the first step. C: Direct absorption of SO3 in water is explosive; it is absorbed in concentrated H2SO4 to form oleum. D: H2S is not a reactant in the Contact Process.
Chemistry,Non-Metals & Their Compounds,151,Ammonia (NH3) is prepared industrially by the,Contact process from N2 and H2,Haber process from N2 and H2,Solvay process from NaCl and NH3,Electrolysis of liquid nitrogen,B,"The Haber process: N2 + 3H2 ⇌ 2NH3. Conditions: iron catalyst, ~450°C, ~200 atm pressure. This is the standard industrial production of ammonia.","A: The Contact process makes H2SO4, not NH3. C: The Solvay process makes Na2CO3 (sodium carbonate). D: Liquid nitrogen is N2 and does not yield NH3 by electrolysis."
Chemistry,Non-Metals & Their Compounds,152,The test for NH4+ (ammonium ion) involves,Adding AgNO3 solution — white precipitate,Adding BaCl2 solution — white precipitate,Adding NaOH solution and warming — ammonia gas (turns moist red litmus blue) is produced,Adding dilute HCl — effervescence,C,Test for NH4+: Add NaOH solution and warm gently. NH4+ + OH- → NH3↑ + H2O. The ammonia gas produced turns moist red litmus paper blue and has a characteristic pungent smell.,A: AgNO3 tests for halide ions. B: BaCl2 tests for SO4 2-. D: Effervescence with HCl occurs with carbonates (CO3 2-).
Chemistry,Non-Metals & Their Compounds,153,"When HNO3 reacts with copper, which gas is produced?",H2 gas,O2 gas,NO2 (concentrated HNO3) or NO (dilute HNO3),SO2,C,Copper does not displace H2 from acid (it is below H in the reactivity series). HNO3 oxidizes Cu: Concentrated HNO3 → NO2 (brown gas); Dilute HNO3 → NO (colourless gas that turns brown in air). Cu → Cu2+.,"A: Cu is below H2 in the reactivity series and does not produce H2 with acids. B: O2 is not produced from this reaction. D: SO2 would be from reaction with H2SO4, not HNO3."
Chemistry,Non-Metals & Their Compounds,154,Carbon (II) oxide (CO) is dangerous to humans because,It is strongly acidic,"It forms carboxyhaemoglobin, preventing oxygen transport in blood",It reacts with water in the lungs,It has a strong unpleasant smell,B,"CO binds to haemoglobin with 200-300 times greater affinity than O2, forming carboxyhaemoglobin (COHb). This prevents O2 from being transported in the blood, causing oxygen deprivation and death. CO is odourless.",A: CO is not acidic; CO2 is weakly acidic. C: CO does not react significantly with water in the lungs. D: CO is odourless and colourless — this is part of what makes it dangerous.
Chemistry,Non-Metals & Their Compounds,155,Which of the following is an allotrope of carbon?,Dry ice,Graphite,Carbon dioxide,Carbon monoxide,B,"Allotropes are different physical forms of the same element. Carbon's allotropes include diamond, graphite, and fullerenes (buckminsterfullerene). Dry ice (CO2), CO2, and CO are compounds of carbon, not allotropes.",A: Dry ice is solid CO2 — a compound. C: CO2 is a compound (two elements). D: CO is a compound (two elements).
Chemistry,Non-Metals & Their Compounds,156,Hydrogen sulphide (H2S) acts as a precipitating agent in qualitative analysis because,it is a strong acid,S2- ions precipitate many insoluble metal sulphides with distinctive colours,it dissolves all metal salts,it acts as an oxidizing agent,B,"H2S ionizes to provide S2- ions. Many metal sulphides are insoluble and have characteristic colours: CuS (black), ZnS (white), PbS (black), FeS (black). This allows identification of metal ions in qualitative analysis.","A: H2S is a WEAK acid (weak electrolyte). C: Many metal sulphides are insoluble. D: H2S is a REDUCING agent (it loses electrons/hydrogen), not an oxidizing agent."
Chemistry,Non-Metals & Their Compounds,157,The test for CO3 2- (carbonate ion) involves,Adding AgNO3 — white precipitate soluble in NH3,Adding dilute HCl — brisk effervescence of CO2 which turns Ca(OH)2 solution milky,Adding BaCl2 in HCl — white precipitate,Adding NaOH and warming,B,Test for CO3 2-: Add dilute HCl. CO3 2- + 2H+ → H2O + CO2↑. The CO2 gas produced turns limewater (Ca(OH)2 solution) milky: Ca(OH)2 + CO2 → CaCO3↓ + H2O.,A: AgNO3 tests for Cl- (and other halides). C: BaCl2 in HCl tests for SO4 2-. D: NaOH tests for NH4+ (when warmed) or metal cations.
Chemistry,Non-Metals & Their Compounds,158,The nitrogen cycle is important because it,removes all nitrogen from the atmosphere permanently,"circulates nitrogen between the atmosphere, soil, living organisms, and back to the atmosphere",produces nitrogen from oxygen in the air,converts all nitrogen to nitric acid,B,"The nitrogen cycle is the biogeochemical cycle by which nitrogen is converted between N2 in the atmosphere, nitrates in soil (via fixation and nitrification), amino acids in organisms, and back to N2 (via denitrification). It maintains nitrogen availability for life.","A: N2 levels remain relatively constant — the cycle recycles N. C: Nitrogen is fixed FROM the atmosphere (N2→NH3/NO3-), not produced from O2. D: Only a fraction becomes nitric acid."
Chemistry,Non-Metals & Their Compounds,159,Sulphur exists as rhombic and monoclinic allotropes. These differ in,chemical formula,atomic composition,crystal structure and stability at different temperatures,colour only,C,"Rhombic sulphur (stable below 96°C) and monoclinic sulphur (stable above 96°C, below melting point) are allotropes of S8 with different crystal structures (packing arrangements). They have the same chemical properties but different physical properties.","A: Both allotropes have the same formula (S8 molecules). B: Both are pure sulphur atoms. D: While they may appear slightly different, the distinction is fundamentally about crystal structure and temperature stability."
Chemistry,Non-Metals & Their Compounds,160,Products obtained from the destructive distillation of coal include,"Petroleum, natural gas, and water","Coal gas, coal tar, ammoniacal liquor, and coke","Methane, ethane, and propane only",Graphite and diamond,B,"Destructive distillation of coal (heating without air) produces: coal gas (fuel), coal tar (source of aromatic compounds), ammoniacal liquor (contains NH3), and coke (nearly pure carbon used as fuel and in metallurgy).","A: These are products of petroleum, not coal. C: These simple alkanes are in natural gas/coal gas but the complete list is broader. D: Graphite and diamond are not products of destructive distillation."
Chemistry,Metals & Their Compounds,161,The Solvay process is used for the industrial production of,Sodium hydroxide,Sodium carbonate (Na2CO3),Sodium chloride,Ammonia,B,"The Solvay (ammonia-soda) process manufactures Na2CO3 (washing soda) using NaCl, NH3, CO2, and water as raw materials. The overall reaction: 2NaCl + CaCO3 → Na2CO3 + CaCl2.",A: NaOH is produced by electrolysis of brine. C: NaCl occurs naturally in sea water and mines. D: NH3 is made by the Haber process.
Chemistry,Metals & Their Compounds,162,The reaction of sodium hydroxide with aluminium metal produces,Al2O3 + NaCl + H2,NaAlO2 + H2↑ (sodium aluminate and hydrogen gas),Al(OH)3 precipitate only,No reaction occurs,B,"Aluminium is amphoteric. It reacts with both acids and alkalis: 2Al + 2NaOH + 2H2O → 2NaAlO2 + 3H2↑. NaOH dissolves Al, producing sodium aluminate and hydrogen gas.",A: No NaCl is produced; there is no Cl present. C: Al(OH)3 forms when Al3+ reacts with dilute NaOH (insufficient excess). D: Al does react with NaOH (it is amphoteric).
Chemistry,Metals & Their Compounds,163,Which property distinguishes transition metals from typical s-block metals?,They are all magnetic,They have variable oxidation states and form coloured compounds,They all have the same electron configuration,They are all harder than iron,B,"Transition metals have incompletely filled d-orbitals (in the atom or common ions), which give rise to: variable oxidation states (different d-electron loss), coloured compounds (d-d electron transitions absorb visible light), and catalytic activity.","A: Only Fe, Co, Ni are ferromagnetic. C: Transition metals have different configurations. D: Hardness varies among transition metals."
Chemistry,Metals & Their Compounds,164,Iron is extracted from its oxide ores in a blast furnace using,Carbon monoxide as the reducing agent,Hydrogen as the reducing agent,Electrolysis,Coke directly reacting without any intermediate,A,"In the blast furnace, coke burns to form CO2, which reacts with more coke to form CO (C + CO2 → 2CO). CO is the main reducing agent: Fe2O3 + 3CO → 2Fe + 3CO2. Some direct reduction by C also occurs.","B: H2 is used for iron production in some modern DRI processes but CO is the standard blast furnace answer. C: Electrolysis is too expensive for large-scale iron production; it is used for Al. D: Coke does directly reduce at very high temperatures, but CO is the primary reducing agent."
Chemistry,Metals & Their Compounds,165,Steel differs from cast iron in that steel has,Higher carbon content (3-4%) and is more brittle,Lower carbon content (0.1-1.5%) and is stronger and less brittle,No carbon at all,More iron and less carbon than wrought iron,B,"Cast iron has ~3-4% carbon (brittle, hard). Steel has 0.1-1.5% carbon. Lowering carbon content makes the metal less brittle, more malleable, and tougher. Stainless steel also contains Cr and Ni for corrosion resistance.","A: This describes cast iron, not steel. C: Pure iron contains no carbon; steel always has some carbon (0.1-1.5%). D: This is partially true for mild steel vs wrought iron but B is the most accurate complete answer."
Chemistry,Metals & Their Compounds,166,The test for Fe2+ (iron(II) ions) involves,Adding NaOH — brown precipitate,Adding NaOH — dirty green precipitate that turns brown on standing (oxidation),Adding AgNO3 — white precipitate,Adding BaCl2 — white precipitate,B,"Fe2+ + 2OH- → Fe(OH)2↓ (dirty green precipitate). On standing in air, Fe(OH)2 is oxidized to Fe(OH)3: 4Fe(OH)2 + O2 + 2H2O → 4Fe(OH)3 (rust-brown). This colour change is characteristic of Fe2+.",A: Brown precipitate with NaOH indicates Fe3+ not Fe2+. C: AgNO3 tests for halide ions. D: BaCl2 tests for SO4 2-.
Chemistry,Metals & Their Compounds,167,Copper(II) tetraoxosulphate(VI) (CuSO4) is prepared from copper by,Direct reaction of Cu with dilute H2SO4,"Reacting Cu with hot concentrated H2SO4, or dissolving CuO/Cu2O in dilute H2SO4",Electrolysis of copper sulphide,Reacting Cu with HCl,B,"Cu does not react with dilute H2SO4 (below H in activity series). CuSO4 is prepared by: (1) Cu + 2H2SO4(conc.) → CuSO4 + SO2 + 2H2O (hot concentrated H2SO4), or (2) CuO + H2SO4 → CuSO4 + H2O.","A: Cu does NOT react with dilute H2SO4. C: Electrolysis is used to purify Cu, not directly make CuSO4. D: Cu does not react with HCl to form CuSO4."
Chemistry,Metals & Their Compounds,168,Calcium oxide (quicklime) is used in the manufacture of cement. Its reaction with water is,"Endothermic, producing Ca(OH)2 only","Exothermic (slaking), producing Ca(OH)2 (slaked lime)",No reaction with water,Produces CaCO3 and CO2,B,CaO + H2O → Ca(OH)2 (calcium hydroxide / slaked lime). This reaction is highly exothermic (produces a lot of heat). Slaked lime is used to make mortar and to adjust soil pH.,"A: The reaction is strongly EXOthermic, not endothermic. C: CaO reacts vigorously with water. D: CaCO3 and CO2 are not products of this reaction (wrong reagents)."
Chemistry,Metals & Their Compounds,169,The percentage composition of cement is approximately,CaCO3 only,CaSiO3 and Ca3(PO4)2,"CaO, SiO2, Al2O3, and Fe2O3 (mainly CaO·SiO2 compounds)",NaCl and CaSO4 only,C,"Portland cement is composed mainly of calcium silicates (CaO·SiO2 compounds), with alumina (Al2O3) and iron oxide (Fe2O3). The raw materials are limestone (CaCO3) and clay. CaCO3 is calcined to CaO during manufacture.","A: CaCO3 is the raw material, not the final product. B: Ca3(PO4)2 is not a major component of cement. D: NaCl and CaSO4 are not components of cement."
Chemistry,Metals & Their Compounds,170,An alloy of copper and zinc is called,Bronze,Brass,Solder,Duralumin,B,Brass is an alloy of copper (Cu) and zinc (Zn). It is harder than copper and has good corrosion resistance. Bronze is Cu + Sn (tin). Solder is Pb + Sn. Duralumin is Al + Cu + Mg + Mn.,"A: Bronze = Cu + Sn. C: Solder = Pb + Sn (soft solder) or Ag + Cu (hard solder). D: Duralumin = Al alloy (with Cu, Mg, Mn)."
Chemistry,Metals & Their Compounds,171,The purification of bauxite (aluminium ore) to obtain pure Al2O3 is called,The Hall-Héroult process,The Bayer process,The Solvay process,The Contact process,B,"The Bayer process purifies bauxite by dissolving Al2O3 in hot concentrated NaOH (leaving Fe2O3 and SiO2 residue), then precipitating Al(OH)3, which is calcined to pure Al2O3. The Hall-Héroult process then electrolyzes this to obtain Al.",A: The Hall-Héroult process is the electrolytic EXTRACTION of Al from purified Al2O3. C: Solvay process makes Na2CO3. D: Contact process makes H2SO4.
