"Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"Physics","Magnetism & Electromagnetism","An AC generator works on the principle of","Lenz's law only","Faraday's law of electromagnetic induction as the coil rotates in a magnetic field","The motor effect","Electrostatic induction","B","Correct: An AC generator works by rotating a coil in a magnetic field, and the changing flux through the coil induces an alternating EMF according to Faraday's law, with the rotating coil producing a sinusoidal output. A is wrong because Lenz's law describes only the direction of the induced current, which is one aspect of generation, not the full principle. C is wrong because the motor effect is the reverse process — converting electrical current in a field into mechanical force, rather than generation. D is wrong because electrostatic induction is a static charge phenomenon, unrelated to electromagnetic generation."
"Physics","Magnetism & Electromagnetism","A transformer has 200 primary turns and 1000 secondary turns. If the primary voltage is 240 V, the secondary voltage is","48 V","1200 V","240 V","2400 V","B","Correct: V_s/V_p = N_s/N_p, so V_s = V_p × (N_s/N_p) = 240 × (1000/200) = 240 × 5 = 1200 V, indicating this is a step-up transformer since N_s > N_p. A is wrong because 48 V = 240/5 mistakenly applies the step-DOWN ratio instead of step-up. C is wrong because 240 V would only apply if the turns were equal, which they aren't here. D is wrong because 2400 V = 240 × 10 uses an incorrect turns ratio of 10 instead of the correct 5."
"Physics","Magnetism & Electromagnetism","The angle of declination at a location is the angle between","The horizontal and the direction of Earth's magnetic field","True (geographic) north and magnetic north at that location","The Earth's magnetic poles and geographic poles","Magnetic field lines and the vertical","B","Correct: The angle of declination (magnetic variation) is the horizontal angle between true geographic north and magnetic north at a given location, which navigators must account for when using a magnetic compass. A is wrong because this instead describes the angle of dip (inclination), the vertical component of Earth's field. C is wrong because the angle between magnetic and geographic poles is a global quantity, not the location-specific declination. D is wrong because the angle between field lines and the vertical is also the angle of dip, not declination."
"Physics","Magnetism & Electromagnetism","The angle of dip (magnetic inclination) is 90° at the","Magnetic equator","Geographic equator","Magnetic poles","Tropics","C","Correct: At the magnetic poles, Earth's magnetic field points vertically (downward or upward), giving an angle of dip of 90°; at the magnetic equator, the field is horizontal and the dip is 0°. A is wrong because at the magnetic equator, the dip is 0°, since the field is horizontal there. B is wrong because the geographic equator is close to the magnetic equator, where dip is approximately 0°. D is wrong because at the tropics, the dip has intermediate values, somewhere between 0° and 90°."
"Physics","Magnetism & Electromagnetism","Eddy currents in transformer cores are reduced by","Using a solid iron core","Laminating the core with insulated thin sheets of iron","Increasing the frequency of AC","Using copper for the core","B","Correct: Eddy currents are circulating currents induced within the core; laminating the core (layering thin iron sheets insulated from each other) restricts eddy currents to small loops within each sheet, greatly reducing their magnitude and the resulting heating loss. A is wrong because a solid core actually provides a large cross-section for eddy currents, the opposite of the intended solution. C is wrong because higher frequency actually induces LARGER eddy currents, since dΦ/dt increases. D is wrong because copper is a better conductor than iron, which would increase, not decrease, eddy current losses."
"Physics","Magnetism & Electromagnetism","In a DC motor, the function of the commutator is to","Increase the speed of the motor","Reverse the current in the coil every half turn to maintain continuous rotation in one direction","Supply current to the field magnets","Reduce friction in the motor","B","Correct: The commutator (split ring) reverses the current in the armature coil every half revolution; without this, the coil would simply oscillate back and forth, but the commutator ensures the torque always acts in the same direction, maintaining continuous rotation. A is wrong because speed is controlled by voltage or current, not by the commutator's function. C is wrong because field current is supplied through separate connections, not through the commutator. D is wrong because friction is reduced by bearings, not by the commutator."
"Physics","Magnetism & Electromagnetism","The inductance of a coil is defined as the ratio of","EMF to current","Magnetic flux linkage to current","Current to voltage","Power to current","B","Correct: Inductance L = NΦ/I, the flux linkage per unit current (alternatively L = EMF/(dI/dt)), measured in Henry (H); an inductor opposes changes in current through electromagnetic induction. A is wrong because EMF divided by current gives resistance (per Ohm's law), not inductance. C is wrong because current divided by voltage gives conductance (1/R), a different quantity. D is wrong because power divided by current gives voltage (since P = IV), unrelated to inductance."
"Physics","Magnetism & Electromagnetism","A moving coil galvanometer uses a radial magnetic field to ensure that","The coil vibrates at high frequency","The deflection is directly proportional to current at all angles (linear scale)","The current is amplified","Temperature does not affect the reading","B","Correct: The radial field, created using curved pole pieces with a soft iron cylinder, ensures the field is always parallel to the plane of the coil at all angles, making the torque (and hence deflection) directly proportional to current, giving a linear, uniform scale. A is wrong because the frequency of vibration is not related to the radial field's design purpose. C is wrong because galvanometers detect current — they don't amplify it in any way. D is wrong because temperature compensation is achieved through materials with low temperature coefficients, not through the radial field design."
"Physics","Simple AC Circuits","The RMS (root mean square) value of an AC current is related to its peak value I₀ by","I_rms = 2I₀","I_rms = I₀/2","I_rms = I₀/√2","I_rms = √2 × I₀","C","Correct: For a sinusoidal AC current, I_rms = I₀/√2 ≈ 0.707 I₀, the equivalent DC value that produces the same heating effect; the mains supply voltage (220–240 V) is quoted as an RMS value. A is wrong because 2I₀ doubles the peak, giving a value larger than the peak itself, which is impossible for RMS. B is wrong because I₀/2 = 0.5I₀ is not the correct RMS ratio, which is 1/√2 ≈ 0.707. D is wrong because √2 × I₀ exceeds I₀, but RMS must always be less than or equal to the peak value."
"Physics","Simple AC Circuits","In a purely capacitive AC circuit, the current","Lags the voltage by 90°","Is in phase with the voltage","Leads the voltage by 90°","Lags the voltage by 45°","C","Correct: For a pure capacitor, I = C dV/dt, so current is proportional to the rate of change of voltage, causing the current to lead the voltage by 90° (π/2 radians) — remembered via the mnemonic 'CIVIL' (In Capacitor, I leads V; in inductor L, V leads I). A is wrong because it's the voltage, not the current, that lags in an INDUCTOR by 90° — this describes the opposite component. B is wrong because being in phase describes the behavior of a pure resistor, not a capacitor. D is wrong because a 45° phase difference occurs in RC or RL circuits, not in a pure C or L component alone."
"Physics","Simple AC Circuits","At resonance in an RLC series circuit","Impedance is maximum and current is minimum","Inductive reactance equals capacitive reactance and impedance equals resistance","The circuit behaves as a pure capacitor","The power factor is zero","B","Correct: At resonance, X_L = X_C, so the net reactance = 0, giving impedance Z = R (its minimum value), and current = V/R (its maximum value), with power factor cos φ = R/Z = 1, meaning the circuit behaves as purely resistive. A is wrong because at resonance, impedance is actually MINIMUM and current is MAXIMUM — the opposite of what's stated. C is wrong because at resonance, the circuit behaves as a pure RESISTOR, not a capacitor. D is wrong because the power factor equals cos 0° = 1 at resonance (its maximum), not zero."
"Physics","Simple AC Circuits","Capacitive reactance X_C is given by","2πfC","1/(2πfC)","2πfL","L/f","B","Correct: X_C = 1/(2πfC) = 1/(ωC); it decreases as frequency increases, meaning a capacitor passes high-frequency AC more easily, with units of Ohms. A is wrong because 2πfC has the wrong units, giving F/s rather than Ω. C is wrong because 2πfL is actually the formula for inductive reactance, X_L, not capacitive. D is wrong because L/f is neither the capacitive nor inductive reactance formula."
"Physics","Simple AC Circuits","The resonant frequency of a series RLC circuit with L = 10 mH and C = 10 μF is","503 Hz","1592 Hz","159 Hz","50.3 Hz","A","Correct: f₀ = 1/(2π√LC) = 1/(2π√(10×10⁻³ × 10×10⁻⁶)) = 1/(2π√(10⁻⁷)) ≈ 1/(1.987×10⁻³) ≈ 503 Hz. B is wrong because 1592 Hz results from an error in the L or C values used. C is wrong because 159 Hz uses √(LC) with incorrect units. D is wrong because 50.3 Hz is off by a factor of 10."
"Physics","Conduction Through Liquids & Gases","Faraday's first law of electrolysis states that the mass of substance deposited at an electrode is","Inversely proportional to the time of electrolysis","Directly proportional to the quantity of charge (coulombs) passed through the electrolyte","Proportional to the temperature of the electrolyte","Independent of current","B","Correct: Faraday's 1st law states that mass ∝ Q = It, so the mass deposited is directly proportional to the quantity of electricity (current × time) passed, expressed as m = ZIt, where Z is the electrochemical equivalent. A is wrong because mass is DIRECTLY, not inversely, proportional to time at constant current. C is wrong because while temperature affects electrolyte conductivity generally, it isn't part of Faraday's 1st law itself. D is wrong because mass is in fact directly proportional to current at constant time, contradicting the claim of independence."
"Physics","Conduction Through Liquids & Gases","In electrolysis of copper sulfate solution using copper electrodes, at the anode","Copper is deposited","Hydrogen gas is released","Copper dissolves into solution, replenishing copper ions","Oxygen gas is released","C","Correct: With copper electrodes and CuSO₄ solution, at the cathode Cu²⁺ + 2e⁻ → Cu (copper is deposited), while at the anode Cu → Cu²⁺ + 2e⁻ (copper dissolves); the solution composition remains the same, which is the basis of electroplating and copper refining. A is wrong because copper is deposited at the CATHODE, not the anode. B is wrong because hydrogen gas is released only when platinum electrodes and dilute H₂SO₄ are used, not with copper electrodes. D is wrong because oxygen is released at the anode specifically when platinum electrodes and H₂SO₄ are used — not in this copper-electrode setup."
"Physics","Conduction Through Liquids & Gases","Thermionic emission is the release of electrons from a heated metal. The minimum energy required to release an electron from a metal surface is called","Ionization energy","Work function","Binding energy","Kinetic energy","B","Correct: The work function (φ) is the minimum energy needed to remove an electron from a metal's surface; in thermionic emission, thermal energy provides this, while in the photoelectric effect, photon energy (hf) must exceed φ. A is wrong because ionization energy refers to removing electrons from atoms in the gas phase, a different concept. C is wrong because binding energy refers to nuclear energy holding together atomic nuclei. D is wrong because kinetic energy is what the emitted electron possesses AFTER overcoming the work function, not the work function itself."
"Physics","Elementary Modern Physics","Einstein's photoelectric equation is E = hf = φ + ½mv². Here φ represents","The kinetic energy of the emitted electron","The work function — minimum energy to release an electron from the metal surface","The frequency of incident light","The total energy of the photon after emission","B","Correct: In hf = φ + KE_max, hf is the photon energy, φ (the work function) is the energy used to overcome surface binding, and ½mv² is the maximum kinetic energy of the emitted electron. A is wrong because ½mv² is the kinetic energy term — φ specifically represents the work function, a separate quantity. C is wrong because frequency f appears within the term hf, while φ represents the work function, not frequency itself. D is wrong because after emission, the photon has already been absorbed — it has no leftover energy afterward."
"Physics","Elementary Modern Physics","The stopping potential in photoelectric effect is the minimum reverse voltage needed to","Accelerate photoelectrons toward the anode","Stop the most energetic photoelectrons from reaching the anode","Increase the photoelectric current","Change the frequency of incident light","B","Correct: Stopping potential V₀ satisfies eV₀ = KE_max = ½mv²_max; it is the reverse bias voltage that stops even the most energetic electrons from reaching the anode, reducing the photoelectric current to zero. A is wrong because stopping potential opposes, rather than accelerates, electron motion. C is wrong because stopping potential reduces the current to zero, it doesn't increase it. D is wrong because stopping potential cannot alter the frequency of the incident light at all."
"Physics","Elementary Modern Physics","The half-life of a radioactive element is 20 days. What fraction remains after 80 days?","1/4","1/16","1/8","1/32","B","Correct: Number of half-lives = 80/20 = 4, so the fraction remaining = (1/2)⁴ = 1/16. A is wrong because 1/4 = (1/2)² corresponds to only 40 days, i.e. 2 half-lives. C is wrong because 1/8 = (1/2)³ corresponds to 60 days, i.e. 3 half-lives. D is wrong because 1/32 = (1/2)⁵ corresponds to 100 days, i.e. 5 half-lives."
"Physics","Elementary Modern Physics","Alpha particles are deflected more by electric and magnetic fields than beta particles because","Alpha particles have greater charge-to-mass ratio","Alpha particles are larger and slower with higher charge","Beta particles travel faster (approaching speed of light) with much less charge","Both A and C are correct","C","Correct: Note this question's phrasing appears inverted relative to its own answer — beta particles are actually deflected MORE than alpha particles, since beta particles (electrons) move at near light speed with only −1e charge, while alpha particles have +2e charge but are far heavier (about 7300× the electron mass) and slower, so despite their higher charge, alphas are deflected LESS. A is wrong because alpha's charge-to-mass ratio (2e/4u) is actually LESS than that of beta particles (e/0.00055u). B is wrong because size doesn't determine deflection in a field — charge and momentum are what matter. D is wrong since option A is incorrect."
"Physics","Elementary Modern Physics","In nuclear fission, a heavy nucleus splits into lighter fragments. Energy is released because","The fragments have greater mass than the original nucleus","The total mass of the fragments is less than the original nucleus (mass defect), and E = mc²","The neutrons are converted to protons","The temperature of the nucleus decreases","B","Correct: Mass defect (Δm) is the difference between the mass of the original nucleus and the sum of the fragment masses; this mass converts to energy per E = Δmc², which is the basis of both nuclear power and atomic bombs. A is wrong because if the fragments had greater mass, energy would need to be INPUT rather than released. C is wrong because neutron-to-proton conversion describes beta decay, a separate process from fission. D is wrong because temperature actually increases, not decreases, as kinetic energy is released during fission."
"Physics","Elementary Modern Physics","Which type of radiation is stopped by a thin sheet of paper?","Beta radiation","Gamma radiation","Alpha radiation","X-rays","C","Correct: In order of increasing penetrating power, Alpha (α) < Beta (β) < Gamma (γ); alpha particles are stopped by a sheet of paper or a few centimetres of air, due to their large mass and charge. A is wrong because beta radiation passes through paper and requires aluminum or plastic to stop it. B is wrong because gamma rays require thick lead or concrete — paper has essentially no effect on them. D is wrong because X-rays require dense materials to stop; paper cannot block them either."
"Physics","Elementary Modern Physics","Bohr's model of the atom postulates that electrons","Revolve randomly around the nucleus","Occupy fixed energy levels (stationary states) and emit radiation only when transitioning between levels","Are embedded in a sphere of positive charge","Have no definite position around the nucleus","B","Correct: Bohr's postulates state that electrons orbit in specific allowed energy levels without emitting radiation while in a stationary state, and that they emit or absorb photons (E = hf = E₂ − E₁) only when transitioning between energy levels. A is wrong because random revolving contradicts Bohr's model of fixed, defined orbits. C is wrong because electrons embedded in a sphere of positive charge describes Thomson's plum pudding model, which Bohr's model improved upon. D is wrong because having no definite position describes the later quantum mechanical (probability-based) model, not Bohr's model."
"Physics","Elementary Modern Physics","The de Broglie wavelength of a particle of mass m moving with velocity v is","λ = mv/h","λ = h/mv","λ = hmv","λ = h²/mv","B","Correct: de Broglie's hypothesis states λ = h/p = h/(mv), where h is Planck's constant, m is mass, and v is velocity, demonstrating wave-particle duality — that all matter has an associated wavelength. A is wrong because mv/h inverts the formula, giving the reciprocal of wavelength (a wave number). C is wrong because hmv has dimensions inconsistent with a wavelength. D is wrong because h²/mv also has incorrect dimensions for representing wavelength."
"Physics","Elementary Modern Physics","The process of nuclear fusion involves","Heavy nuclei splitting into lighter ones","Light nuclei combining to form heavier nuclei with release of energy","A nucleus losing an alpha particle","A neutron converting to a proton","B","Correct: Nuclear fusion involves light nuclei, such as hydrogen isotopes, combining at extremely high temperatures to form heavier nuclei, releasing enormous energy — this powers the sun and hydrogen bombs. A is wrong because heavy nuclei splitting describes nuclear FISSION (as in atomic bombs or nuclear reactors), the opposite process. C is wrong because a nucleus losing an alpha particle describes alpha decay, a form of radioactive decay, not fusion. D is wrong because neutron-to-proton conversion describes beta-minus decay, an unrelated process."
"Physics","Elementary Modern Physics","X-rays are produced when","Electrons collide with high-speed protons","Fast-moving electrons are suddenly decelerated upon hitting a metal target","Gamma rays strike a metal surface","UV light strikes a metal surface","B","Correct: X-rays are produced in an X-ray tube when electrons, accelerated through a high voltage, hit a metal target such as tungsten; the sudden deceleration produces high-energy electromagnetic radiation known as Bremsstrahlung X-rays. A is wrong because electron-proton collision is not the standard method used for X-ray production. C is wrong because gamma rays striking metal would instead produce the photoelectric effect, not X-rays. D is wrong because UV light striking metal produces the photoelectric effect (electron emission), not X-ray production."
"Physics","Elementary Modern Physics","The Heisenberg Uncertainty Principle states that","Energy and time can be measured simultaneously and precisely","The position and momentum of a particle cannot both be precisely known simultaneously","An electron's velocity can be exactly determined","Mass and energy are interconvertible","B","Correct: Heisenberg's Uncertainty Principle states Δx · Δp ≥ h/4π, meaning the more precisely position (Δx) is known, the less precisely momentum (Δp = mΔv) can be known, and vice versa — a fundamental quantum limit, not merely a measurement limitation. A is wrong because energy-time uncertainty (ΔE·Δt ≥ h/4π) also applies — they cannot both be simultaneously precise either. C is wrong because exact velocity determination would require exact momentum, which would violate the principle. D is wrong because mass-energy equivalence (E = mc²) is a statement from Einstein's special relativity, not the Heisenberg principle."
"Physics","Elementary Modern Physics","A radioactive nucleus ²³⁸₉₂U emits an alpha particle. The resulting nucleus is","²³⁴₉₀Th","²³⁸₉₃Np","²³⁴₉₁Pa","²³⁶₉₀Th","A","Correct: In alpha decay, α = ₂⁴He, so the new mass number = 238 − 4 = 234, and the new atomic number = 92 − 2 = 90 (Thorium), giving the resulting nucleus ²³⁴₉₀Th. B is wrong because ²³⁸₉₃Np shows an atomic number increased by 1, which would indicate beta decay, not alpha decay. C is wrong because ²³⁴₉₁Pa shows the atomic number decreased by only 1, not the required 2. D is wrong because ²³⁶₉₀Th shows the mass number decreased by only 2, not the required 4."
"Physics","Elementary Modern Physics","In beta-minus decay, a neutron in the nucleus","Absorbs an electron and becomes a proton","Converts to a proton with emission of an electron (beta particle) and an antineutrino","Splits into two protons","Emits a gamma ray only","B","Correct: In beta-minus decay, n → p + e⁻ + ν̄_e, meaning a neutron converts to a proton, emitting a high-speed electron (the beta particle) and an antineutrino; the atomic number increases by 1 while the mass number stays unchanged. A is wrong because a neutron ABSORBING an electron instead describes electron capture, a different process from beta decay. C is wrong because neutrons cannot split into two protons, as this would violate charge conservation. D is wrong because gamma emission may accompany other types of decay, but it is not the primary process defining beta decay."
"Physics","Introductory Electronics","An n-type semiconductor is formed when silicon is doped with","A trivalent element (e.g., boron)","A pentavalent element (e.g., phosphorus or arsenic)","A divalent element (e.g., magnesium)","No dopant — it is pure silicon","B","Correct: Silicon has 4 valence electrons; doping with a pentavalent atom (5 valence electrons), like phosphorus, provides an extra electron, creating an n-type semiconductor with electrons as the majority charge carriers. A is wrong because trivalent elements like boron instead create p-type semiconductors, with holes as majority carriers. C is wrong because divalent elements would create acceptor states different from a standard n-type semiconductor. D is wrong because pure silicon with no dopant is simply an intrinsic semiconductor, with no excess carriers."
"Physics","Introductory Electronics","A p-n junction diode allows current to flow easily when","The p-side is connected to negative terminal and n-side to positive (reverse bias)","The p-side is connected to positive terminal and n-side to negative (forward bias)","No voltage is applied","A very large reverse voltage is applied","B","Correct: In forward bias, the p-side connects to the positive terminal and the n-side to the negative terminal, which reduces the depletion region and allows current to flow easily. A is wrong because that arrangement is actually reverse bias, which increases the depletion layer and blocks current. C is wrong because with no voltage applied, only a tiny thermal current flows across the junction. D is wrong because a very large reverse voltage leads to electrical breakdown, which is not normal diode operation."
"Physics","Introductory Electronics","In half-wave rectification, the output","Has both positive and negative cycles smoothed out","Contains only one half of each AC cycle (either positive or negative) as pulsating DC","Is pure DC with constant voltage","Contains the full AC waveform","B","Correct: Half-wave rectification uses a single diode, which conducts only during one half-cycle (e.g. positive), blocking the other half, so the output is pulsating DC with a frequency equal to the supply frequency. A is wrong because smoothing an output into both cycles requires a capacitor filter applied after rectification, which isn't part of basic half-wave rectification. C is wrong because pure constant DC requires both rectification and additional smoothing, not just half-wave rectification alone. D is wrong because the full AC waveform is the input to the rectifier, not its output."
"Physics","Introductory Electronics","The difference between a conductor, semiconductor, and insulator in band theory is based on","Their mass and density","The size of the energy gap between valence and conduction bands","Their color and transparency","Their temperature only","B","Correct: In band theory, a conductor has overlapping valence and conduction bands (no gap, electrons flow freely); a semiconductor has a small band gap (~1 eV, e.g. silicon = 1.1 eV) allowing some conduction; and an insulator has a large band gap (>5 eV) that prevents conduction at normal temperatures. A is wrong because mass and density are physical properties unrelated to a material's electrical conduction classification. C is wrong because color and transparency relate to optical band gaps, not the electrical classification of these materials. D is wrong because while temperature does affect conduction in semiconductors, it is not the defining distinction between the three material types."
"Physics","Introductory Electronics","A transistor can be used as an amplifier because","A small base current controls a much larger collector current, producing a larger output signal","It has three terminals instead of two","It operates on both AC and DC","It is made of semiconductor material","A","Correct: Transistor amplification works because a small input current at the base (I_B) controls a much larger collector current (I_C = hFE × I_B, where hFE is the current gain, typically 50–300), allowing a small input signal to produce a larger output signal. B is wrong because having three terminals is simply a physical fact about transistors, not the reason for amplification. C is wrong because operating on both AC and DC is a general characteristic, not the specific mechanism behind amplification. D is wrong because being a semiconductor is what makes transistors work in general, but it doesn't specifically explain the amplification mechanism."
