"Question Number","Section","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"118","Section C: Ecology","Soil Science","Sandy soil has poor water retention compared to clay soil because","sand particles are smaller and pack more tightly","sand particles are larger with bigger pores that allow water to drain quickly","sand has a higher humus content","sand is more acidic than clay","B","Sandy soil has large particles with large pore spaces. Water drains through quickly by gravity (percolation) and cannot be held by capillary action in large pores. Clay soil has tiny particles with small pores that retain water strongly.","A: Clay particles are smaller and pack tightly — that's why clay retains water. C: Sandy soils typically have low humus content. D: Soil pH depends on parent material and organic matter, not directly on particle size."
"119","Section C: Ecology","Nitrogen Cycle","The process of nitrification in the nitrogen cycle involves","bacteria converting atmospheric nitrogen to ammonia","bacteria converting ammonia to nitrites and then nitrates","plants absorbing nitrates from the soil","bacteria converting nitrates to nitrogen gas","B","Nitrification is carried out by nitrifying bacteria: Nitrosomonas converts ammonia (NH3) to nitrites (NO2-), and Nitrobacter converts nitrites to nitrates (NO3-), making nitrogen available to plants.","A: This describes nitrogen fixation (done by Azotobacter, Rhizobium, etc.). C: This is assimilation by plants. D: This is denitrification."
"120","Section C: Ecology","Soil Science","Which of the following best describes the role of earthworms in soil fertility?","They fix atmospheric nitrogen into the soil","They aerate the soil, improve drainage, and decompose organic matter","They form mycorrhizal associations with plant roots","They produce humus by photosynthesis","B","Earthworms improve soil structure by burrowing (aeration and drainage), mixing organic and inorganic materials, and breaking down organic matter into humus through their digestive activity (casting).","A: Nitrogen fixation is carried out by bacteria (Rhizobium, Azotobacter), not earthworms. C: Mycorrhizal associations are formed by fungi with plant roots. D: Earthworms cannot photosynthesize — they are heterotrophs."
"121","Section C: Ecology","Conservation","A game reserve in Nigeria serves to","provide land for urban development","promote deforestation for agriculture","protect and conserve wildlife and their natural habitats","allow unlimited hunting of wild animals","C","Game reserves are designated areas set aside to protect wildlife species and their ecosystems from hunting, habitat destruction, and human encroachment, thereby conserving biodiversity.","A: Urban development would destroy wildlife habitats. B: Deforestation is the opposite of conservation. D: Game reserves prohibit or strictly regulate hunting."
"122","Section C: Ecology","Environmental Issues","Global warming is primarily caused by an increase in atmospheric","oxygen","nitrogen","greenhouse gases (CO2, methane, water vapour)","ozone","C","Greenhouse gases (CO2, CH4, N2O, water vapour) trap outgoing infrared radiation from the Earth's surface, raising global temperatures. The burning of fossil fuels and deforestation increase CO2 levels.","A: Oxygen increase is not a cause of global warming. B: Nitrogen is the most abundant gas in the atmosphere but is not a significant greenhouse gas. D: Ozone depletion is a separate environmental issue; more ozone in the stratosphere actually reflects UV radiation."
"123","Section C: Ecology","Disease Vectors","The malaria parasite (Plasmodium) is transmitted to humans by","male Culex mosquito","female Anopheles mosquito","Aedes aegypti mosquito","the tsetse fly","B","The female Anopheles mosquito is the vector of malaria. It transmits the Plasmodium parasite when taking a blood meal. The female requires blood for egg development.","A: Male mosquitoes feed on plant nectar, not blood; they do not transmit malaria. C: Aedes aegypti transmits yellow fever, dengue, and Zika virus. D: The tsetse fly transmits sleeping sickness (Trypanosomiasis)."
"124","Section C: Ecology","Disease Vectors","Onchocerciasis (river blindness) is transmitted by","Anopheles mosquito","Simulium blackfly (buffalo gnat)","Glossina (tsetse fly)","Culex mosquito","B","Onchocerciasis is caused by the nematode worm Onchocerca volvulus and transmitted by the bite of blackflies (Simulium species), which breed near fast-flowing rivers.","A: Anopheles transmits malaria. C: Glossina (tsetse fly) transmits sleeping sickness. D: Culex mosquitoes transmit filariasis and viral encephalitis."
"125","Section C: Ecology","Disease Control","The most effective way to control malaria in a community is to","vaccinate all inhabitants against the disease","eliminate the vector by draining stagnant water and using insecticides","treat all cases of fever with antibiotics","ban movement of people between regions","B","Vector control — eliminating mosquito breeding sites (draining stagnant water, clearing vegetation), using insecticide-treated bed nets, and indoor spraying — is the most effective malaria control strategy.","A: While malaria vaccines exist (RTS,S), they are not 100% effective alone; vector control remains primary. C: Malaria is caused by a parasite (Plasmodium), not bacteria, so antibiotics are ineffective against it. D: Restricting movement does not eliminate the vector."
"126","Section C: Ecology","Symbiotic Relationships","The relationship between Plasmodium and the human body is an example of","mutualism","commensalism","parasitism","predation","C","Plasmodium is an obligate intracellular parasite that lives in human red blood cells and liver cells at the expense of the host (causing malaria). This is a classic example of parasitism — one organism benefits while the other is harmed.","A: Mutualism benefits both organisms. B: Commensalism benefits one without harming the other. D: Predation involves one organism killing and eating another, not living within it."
"127","Section C: Ecology","Agriculture","Crop rotation helps maintain soil fertility primarily by","preventing soil erosion through continuous vegetation cover","breaking pest and disease cycles and restoring soil nutrients, especially nitrogen via legumes","increasing the pH of acidic soils","adding inorganic fertilisers to the soil","B","Crop rotation — alternating crops each season (e.g. maize → cowpea) — prevents the build-up of specific pests and diseases, and legume crops fix nitrogen that replenishes soil for the next crop.","A: Vegetation cover reduces erosion, but this is more about mulching or strip cropping. C: Liming, not crop rotation, raises soil pH. D: Organic/inorganic fertilisers are external inputs, not crop rotation effects."
"128","Section C: Ecology","Pollution","Air pollution by sulphur dioxide is most directly associated with","ozone layer depletion","acid rain formation","eutrophication of water bodies","greenhouse effect","B","SO2 dissolves in atmospheric water vapour forming sulphurous acid (H2SO3); with oxidation it becomes sulphuric acid (H2SO4). This falls as acid rain, damaging ecosystems, corroding buildings, and acidifying soils.","A: Ozone depletion is caused by CFCs (chlorofluorocarbons). C: Eutrophication is caused by nitrate and phosphate runoff from fertilisers. D: The greenhouse effect is mainly due to CO2 and methane."
"129","Section C: Ecology","Soil Science","Humus in soil is important because it","kills soil microorganisms","improves soil structure, water retention, and provides nutrients","increases soil bulk density and compaction","prevents nitrogen fixation","B","Humus (decomposed organic matter) binds soil particles into aggregates (improving structure), retains water and nutrients (especially cations), provides slow-release nutrients, and supports diverse soil life.","A: Humus supports soil microorganisms by providing organic carbon. C: Humus decreases compaction and improves aeration. D: Humus supports nitrogen-fixing bacteria."
"130","Section C: Ecology","Biomes - Nigeria","The Obudu Plateau in Cross River State, Nigeria, is classified as","Sudan Savanna","Tropical Rainforest","Montane forest and highland grassland","Mangrove swamp","C","The Obudu, Jos, and Mambilla Plateaus are highland areas in Nigeria characterised by montane forests at lower slopes and highland grasslands at higher elevations — a distinct biome from the surrounding lowland rainforest and savanna.","A: Sudan Savanna is in the far north of Nigeria. B: Tropical rainforest is found in the coastal south. D: Mangrove swamps are found in coastal estuaries (Niger Delta)."
"131","Section C: Ecology","Succession","Which of the following is an example of secondary succession?","Colonisation of bare rock by lichens","Regrowth of vegetation on an abandoned farmland","Pioneer plant colonisation of a newly formed volcanic island","Lichen colonisation of a sand dune","B","Secondary succession occurs where a community has been disturbed or removed but soil remains (e.g. abandoned farmland, burned forest). The soil already contains seeds, organisms, and nutrients, so recovery is faster than primary succession.","A: Colonisation of bare rock is primary succession — no soil exists. C: Volcanic island colonisation is primary succession. D: Sand dune colonisation is primary succession."
"132","Section C: Ecology","Disease Vectors","Schistosomiasis is caused by a blood fluke (Schistosoma) and is transmitted through","the bite of a female Anopheles mosquito","contact with contaminated water containing the cercariae larvae","consumption of undercooked pork","the bite of a blackfly","B","Schistosomiasis (bilharzia) is transmitted when cercariae larvae (released from infected freshwater snails) penetrate human skin during contact with contaminated water.","A: Malaria is transmitted by Anopheles mosquito bites. C: Eating undercooked pork transmits Taenia solium (tapeworm). D: Blackfly transmits onchocerciasis."
"133","Section C: Ecology","Ecological Concepts","The concept of a niche in ecology refers to","the physical location of an organism in its habitat","the total role and position of an organism in its ecosystem, including its interactions","the total number of organisms in a given area","the feeding level of an organism in a food chain","B","An ecological niche encompasses not just an organism's physical habitat (space), but also its functional role — what it eats, when it is active, how it interacts with other species. No two species occupy exactly the same niche in the same habitat.","A: That describes the habitat — the physical address; niche is more like the 'profession'. C: That is population density. D: Feeding level alone is the trophic level."
"134","Section C: Ecology","Sewage Treatment","The process of sewage treatment that uses microorganisms to break down organic waste aerobically is called","sedimentation","chlorination","biological oxidation (activated sludge process)","filtration","C","Biological oxidation (secondary treatment) uses aerobic bacteria and other microorganisms to decompose dissolved organic matter in sewage through oxidation, significantly reducing BOD (biochemical oxygen demand).","A: Sedimentation is primary treatment — allowing heavy particles to settle. B: Chlorination is a final (tertiary) step to kill pathogens. D: Filtration removes suspended solids but does not biologically break down organic matter."
"135","Section C: Ecology","Pollution","Eutrophication of water bodies is caused by","introduction of predatory fish into water bodies","excessive nutrient enrichment (nitrates and phosphates) causing algal blooms and oxygen depletion","decrease in water temperature due to global cooling","increase in dissolved oxygen due to photosynthesis","B","Eutrophication occurs when nutrient runoff (fertilisers) enriches water bodies, causing explosive algal growth (algal blooms). When algae die, decomposers use up oxygen (BOD increases), creating hypoxic (dead) zones that kill fish and other organisms.","A: Introducing predatory fish affects biodiversity but not eutrophication directly. C: Eutrophication is driven by nutrients, not temperature reduction. D: Initially, algal growth increases O2, but decomposition ultimately depletes it."
"136","Section C: Ecology","Health Organizations","The role of the World Health Organization (WHO) in Nigeria includes","setting boundaries for game reserves","providing international guidelines and support for disease prevention and health promotion","managing Nigerian national parks","drilling boreholes for clean water","B","WHO is the UN agency responsible for international public health, setting global health standards, coordinating disease surveillance, providing technical assistance to member states, and leading responses to health emergencies.","A: Game reserves are managed by national agencies (e.g. Nigerian National Parks Service). C: National parks are managed by the Nigerian National Parks Service. D: Infrastructure projects like boreholes are managed by government ministries or NGOs."
"137","Section C: Ecology","Symbiotic Relationships","Which of the following is an example of commensalism?","Cattle egrets feeding on insects disturbed by grazing cattle","Tapeworm living in the intestine of a human","Clownfish protecting sea anemones while gaining shelter","Mycorrhizal fungi exchanging nutrients with plant roots","A","Cattle egrets follow grazing cattle and feed on insects disturbed by the cattle's movement. The egret benefits (free food), while the cattle are neither helped nor harmed — a classic example of commensalism.","B: Tapeworm causes harm to the host — this is parasitism. C: Both clownfish and anemone benefit — mutualism. D: Mycorrhizae and plant roots exchange nutrients mutually — mutualism."
"138","Section C: Ecology","Natural Resources","Which of the following is a renewable natural resource?","Coal","Crude oil","Timber (forests)","Natural gas","C","Renewable resources can be replenished naturally within a human timescale. Forests (timber) are renewable if managed sustainably (replanted). Coal, crude oil, and natural gas are fossil fuels that take millions of years to form — non-renewable.","A: Coal is a fossil fuel — non-renewable. B: Crude oil is non-renewable. D: Natural gas is non-renewable."
"139","Section C: Ecology","Conservation","The Nigerian Conservation Foundation (NCF) primarily functions to","export wildlife to foreign zoos","conserve Nigeria's biodiversity and natural resources through education, research, and advocacy","regulate fishing activities in Nigerian waters only","manage Nigeria's oil industry to reduce pollution","B","The NCF is a non-governmental organisation dedicated to conserving Nigeria's natural heritage through environmental education, community conservation, wildlife protection, and policy advocacy.","A: Exporting wildlife would be contrary to conservation goals. C: Fisheries regulation is handled by the Federal Ministry of Agriculture. D: Oil industry regulation falls under DPR (now NUPRC)."
"140","Section C: Ecology","Environmental Issues","The most likely consequence of deforestation in tropical regions is","increase in biodiversity due to new open habitats","soil erosion, loss of biodiversity, reduced rainfall, and increased CO2","decreased temperature due to more sunlight reaching the ground","increased soil fertility due to decaying vegetation","B","Deforestation leads to soil erosion (loss of protective cover), extinction of species (habitat loss), reduced transpiration affecting local rainfall, and increased atmospheric CO2 (fewer trees to absorb it), contributing to climate change.","A: Most forest species cannot survive in open degraded habitats. C: Without tree canopy, temperatures actually increase due to more direct solar radiation and less evaporative cooling. D: Initial decomposing vegetation briefly adds nutrients, but topsoil is quickly eroded."
"141","Section D: Heredity and Variation","Mendelian Genetics","In Mendel's first law (Law of Segregation), alleles","blend together in the offspring and cannot be separated","separate during gamete formation so each gamete carries only one allele per gene","always express themselves in heterozygous individuals","are found only on autosomes, never on sex chromosomes","B","The Law of Segregation states that two alleles for each trait separate (segregate) during meiosis so that each gamete receives only one allele. At fertilisation, the two alleles come together again in the offspring.","A: Alleles do not blend — they retain their identity (shown by reappearance of recessive traits in F2). C: In heterozygotes, the dominant allele is expressed; the recessive one is masked. D: Alleles are found on both autosomes and sex chromosomes."
"142","Section D: Heredity and Variation","Mendelian Genetics","In a cross between two heterozygous tall plants (Tt x Tt), what is the expected phenotypic ratio in the offspring?","1 tall : 1 short","3 tall : 1 short","1:2:1","All tall","B","Tt x Tt produces TT : 2Tt : tt (genotypic ratio 1:2:1). Phenotypically, TT and Tt are both tall (T is dominant), giving 3 tall : 1 short.","A: 1:1 ratio results from a testcross (Tt x tt). C: 1:2:1 is the genotypic ratio, not phenotypic. D: All tall would result only if one parent were TT."
"143","Section D: Heredity and Variation","Blood Group Genetics","Which of the following blood group crosses can produce a child with blood group O?","Group A (IAIA) x Group B (IBIB)","Group A (IAi) x Group B (IBi)","Group AB x Group AB","Group O x Group A (IAIA)","B","Group A (IAi) x Group B (IBi): possible offspring = IAIB (AB), IAi (A), IBi (B), ii (O). So yes, blood group O (ii) can be produced. Both parents must carry the recessive 'i' allele.","A: IAIA x IBIB → only IAIB (all AB); no O possible. C: IAIB x IAIB → IAIA, IAIB, IBIB; no O possible. D: ii x IAIA → all IAi (all group A); no O possible."
"144","Section D: Heredity and Variation","Sex-Linked Inheritance","Haemophilia is a sex-linked recessive disorder. A carrier female (XHXh) marries a normal male (XHY). What fraction of their sons will have haemophilia?","None of the sons","Half of the sons","All of the sons","One quarter of all children","B","Cross: XHXh x XHY → sons receive Y from father and either XH or Xh from mother. Sons: XHY (normal) : XhY (haemophiliac) = 1:1. So half the sons will have haemophilia.","A: Some sons will be haemophiliac (those receiving Xh). C: Only those sons receiving Xh are affected — 50%, not all. D: One quarter of ALL children are haemophiliac sons; but specifically half of sons."
"145","Section D: Heredity and Variation","Genetic Disorders","Sickle cell anaemia is caused by","a chromosomal mutation (extra chromosome 21)","a point mutation resulting in the substitution of glutamic acid by valine in haemoglobin","a dominant allele on the X chromosome","the absence of a sex chromosome","B","Sickle cell anaemia results from a single base change (point mutation) in the HBB gene, causing the 6th amino acid of the beta-globin chain to change from glutamic acid to valine. This produces HbS, which polymerises at low oxygen tensions, distorting red blood cells into a sickle shape.","A: Extra chromosome 21 causes Down's syndrome. C: Sickle cell is autosomal recessive — the gene is on chromosome 11, not the X chromosome. D: Absence of a sex chromosome describes Turner's syndrome (45, XO)."
"146","Section D: Heredity and Variation","Genetic Disorders","A person of genotype HbAHbS is said to have","sickle cell anaemia","normal haemoglobin only","sickle cell trait (carrier)","thalassaemia","C","Individuals with one HbA and one HbS allele (heterozygous) have sickle cell TRAIT — they are carriers. They are generally healthy but can pass the HbS allele to offspring. Two HbS alleles (HbSHbS) cause sickle cell anaemia.","A: Sickle cell anaemia requires homozygous HbSHbS. B: Normal individuals are HbAHbA. D: Thalassaemia is a different inherited blood disorder affecting alpha or beta globin chains."
"147","Section D: Heredity and Variation","Genetics Terminology","In genetics, the genotype refers to","the physical appearance of an organism","the genetic makeup (allele composition) of an organism","the observable traits of an organism","the sex chromosomes only","B","Genotype is the genetic constitution of an organism — the specific alleles it possesses (e.g. TT, Tt, tt). Phenotype is the observable expression of those genes.","A: Physical appearance is the phenotype. C: Observable traits = phenotype. D: Genotype includes all genes, not just sex chromosomes."
"148","Section D: Heredity and Variation","Variation","Discontinuous variation in a population is characterised by","a range of measurements forming a bell-shaped (normal distribution) curve","distinct categories with no intermediate forms (e.g. ABO blood groups)","traits that are significantly influenced by environmental conditions","traits controlled by multiple genes (polygenic inheritance)","B","Discontinuous variation produces distinct categories with no intermediates — individuals either belong to one group or another (e.g. ABO blood groups: A, B, AB, or O). It is typically controlled by one or a few genes.","A: A bell-shaped normal distribution describes continuous variation (e.g. height, weight). C: Environmental influence is greater in continuous variation. D: Polygenic inheritance usually produces continuous variation."
"149","Section D: Heredity and Variation","Sex Determination","The human sex determination mechanism means that","females are XY and males are XX","the father determines the sex of the child","sex is determined by the number of autosomes","all eggs carry the Y chromosome","B","Human females are XX; they produce eggs with only X chromosomes. Human males are XY; they produce sperm with either X (→ girl) or Y (→ boy). The father's sperm determines the sex of the child.","A: Females are XX, males are XY — not the reverse. C: Sex is determined by sex chromosomes (X and Y), not autosomes. D: Eggs always carry X; sperm carry either X or Y."
"150","Section D: Heredity and Variation","Genetic Engineering","Which of the following techniques has been used to produce human insulin for diabetics using genetic engineering?","Cross-breeding of insulin-producing animals","Insertion of the human insulin gene into bacterial DNA (recombinant DNA technology)","Hybridisation of plant species","Chemical synthesis of insulin from amino acids in a laboratory only","B","Recombinant DNA technology (genetic engineering) involves inserting the human insulin gene into Escherichia coli or yeast cells. These bacteria then express the gene and produce human insulin in large quantities.","A: Animal cross-breeding cannot produce human insulin specifically. C: Plant hybridisation is unrelated to insulin production. D: While chemical synthesis is possible, the commercial source since the 1980s is genetically engineered microorganisms."
"151","Section D: Heredity and Variation","Sex-Linked Inheritance","Colour blindness is more common in males than females because","the gene is on the Y chromosome, inherited only by sons","the gene is X-linked recessive; males (XY) need only one recessive allele to be affected","females produce more melanin, protecting against colour blindness","males have lower immunity against genetic defects","B","Colour blindness is caused by a recessive allele on the X chromosome. Males have only one X chromosome, so one copy of the recessive allele causes colour blindness. Females need two copies (one on each X) to be affected, making them far less commonly affected.","A: The colour blindness gene is on the X chromosome, not the Y (which has very few genes). C: Melanin production is unrelated to colour vision genetics. D: Immunity has no role in genetic inheritance."
"152","Section D: Heredity and Variation","Mendelian Genetics","In a testcross, an organism showing the dominant phenotype is crossed with a","homozygous dominant organism","heterozygous dominant organism","homozygous recessive organism","organism of the same genotype","C","A testcross is performed by crossing an organism with the dominant phenotype (but unknown genotype) with a homozygous recessive individual (e.g. tt). The offspring ratio reveals the unknown genotype: 1:1 means Tt; all dominant means TT.","A: Crossing with homozygous dominant would always produce dominant phenotype offspring — not informative. B: This would produce complex ratios but is not the standard testcross design. D: This may not reveal the genotype clearly."
"153","Section D: Heredity and Variation","Molecular Genetics","Which of the following correctly describes the structure of DNA?","Single-stranded with ribose sugar and uracil","Double helix with deoxyribose sugar, phosphate, and four bases (A, T, G, C)","Double-stranded with ribose sugar and uracil replacing thymine","Single-stranded with deoxyribose and four bases including uracil","B","DNA is a double helix consisting of two antiparallel nucleotide strands. Each nucleotide has a deoxyribose sugar, a phosphate group, and one of four nitrogenous bases: adenine (A), thymine (T), guanine (G), or cytosine (C). A pairs with T; G pairs with C.","A: Single-stranded with ribose and uracil describes RNA. C: Double-stranded with ribose and uracil describes RNA (double-stranded forms). D: Uracil is an RNA base, not found in DNA."
"154","Section D: Heredity and Variation","Blood Group Genetics","If a parent with blood group AB marries a parent with blood group O, the possible blood groups of their children are","AB and O only","A and B only","A, B, AB, and O","O only","B","AB (IAIB) x O (ii): gametes from AB are IA or IB; gametes from O are i only. Offspring: IAi (group A) or IBi (group B) only. No AB or O is possible.","A: AB (IAIB) offspring would require both IA and IB from parents — not possible here. C: AB and O offspring are not possible from this cross. D: O (ii) offspring would require i from each parent — AB parent has no i allele."
"155","Section D: Heredity and Variation","History of Genetics","Gregor Mendel's experiments with pea plants established the principles of heredity. His choice of pea plants was advantageous because they","had a very long generation time","could only self-pollinate and produce variable offspring","had easily distinguishable contrasting characters and a short generation time","were too complex for other scientists to study","C","Pea plants were ideal because they had 7 pairs of easily observable contrasting traits (tall/short, round/wrinkled), could be easily cross-pollinated or self-pollinated, had a short generation time (~3 months), and produced large numbers of offspring for statistical analysis.","A: A long generation time would slow experiments — the opposite. B: Peas self-pollinate naturally, but Mendel could cross-pollinate them; self-pollination alone does not produce variable offspring. D: Their simplicity was the advantage."
"156","Section D: Heredity and Variation","Genetic Engineering","Genetically Modified Organisms (GMOs) are produced by","selective breeding of closely related organisms over generations","introducing foreign genes into an organism's genome using biotechnology","exposing organisms to X-rays to induce natural mutations","hybridising two different species through cross-pollination","B","GMOs are created by inserting specific genes from another organism (often of a different species) into a host genome using recombinant DNA technology, giving the host new traits (e.g. pest resistance, herbicide tolerance).","A: Selective breeding uses natural variation — no direct gene manipulation; offspring remain the same species. C: X-rays cause random mutations — this is mutagenesis, not targeted genetic modification. D: Hybridisation combines genomes through sexual reproduction but does not insert specific foreign genes."
"157","Section D: Heredity and Variation","Variation","Continuous variation, such as height in a human population, is controlled by","a single gene with two alleles","multiple genes (polygenic) and environmental factors","sex chromosomes only","mitochondrial DNA only","B","Traits showing continuous variation (e.g. height, skin colour) are polygenic — controlled by many genes each with a small additive effect — and are also significantly influenced by environmental factors (nutrition, sunlight). This produces a continuous range of values.","A: Single gene control with two alleles produces discontinuous variation (two or three discrete phenotypes). C: Sex chromosomes carry some genes but continuous traits involve many autosomes. D: Mitochondrial DNA controls very few traits."
"158","Section D: Heredity and Variation","Genetic Disorders","In a family where both parents have the sickle cell trait (HbAHbS), what is the probability that their child will have sickle cell anaemia?","0%","25%","50%","100%","B","HbAHbS x HbAHbS → HbAHbA : 2 HbAHbS : HbSHbS (ratio 1:2:1). The probability of HbSHbS (sickle cell anaemia) = 1/4 = 25%.","A: There is a real risk — not 0%. C: 50% would be the probability of being a carrier (HbAHbS). D: 100% would require both parents to have HbSHbS."
"159","Section D: Heredity and Variation","Variation","Fingerprints are used in crime detection because they show","continuous variation unique to the individual","discontinuous variation unique to the individual","sex-linked variation","environmentally determined patterns","B","Fingerprints are a form of discontinuous variation — individuals can be classified into distinct types (loops, whorls, arches). Crucially, no two individuals (including identical twins) have identical fingerprints, making them unique identifiers.","A: Continuous variation produces a range — fingerprints produce distinct classifiable patterns. C: Fingerprints are not sex-linked. D: While development has minor environmental influences, the basic pattern is genetically determined and unique."
"160","Section D: Heredity and Variation","Agricultural Genetics","Inbreeding in agriculture refers to","crossing two unrelated breeds to exploit hybrid vigour","mating of closely related individuals to fix desirable traits","introducing foreign genes into the genome","producing haploid plants from pollen grains","B","Inbreeding involves mating closely related individuals (e.g. sibling x sibling, parent x offspring). It increases homozygosity and can fix desirable traits in livestock or crops, but also increases the risk of expressing harmful recessive alleles (inbreeding depression).","A: Crossing unrelated breeds to exploit hybrid vigour is outbreeding (hybridisation). C: Introducing foreign genes is genetic modification. D: Producing haploid plants from pollen is anther culture (a plant biotechnology technique)."
"161","Section D: Heredity and Variation","Heredity","Which of the following is heritable (passed from parent to offspring through genes)?","A scar from a childhood injury","Language skills acquired in school","Eye colour","Muscle hypertrophy from weightlifting","C","Heritable characters are encoded in the genetic material (DNA) and transmitted via gametes. Eye colour is determined by genes (e.g. OCA2 gene). Scars, language skills, and muscle hypertrophy are acquired (non-heritable) traits.","A: Scars are acquired from environmental trauma — not encoded in DNA. B: Language is learned — not genetically transmitted. D: Muscle hypertrophy is a physiological response to exercise — not inherited directly."
"162","Section D: Heredity and Variation","Blood Groups","The Rhesus (Rh) factor in blood transfusion is important because","Rh-negative recipients can safely receive Rh-positive blood without reaction","Rh-positive blood given to an Rh-negative recipient can trigger haemolytic reactions","all humans are Rh-positive","Rh factor determines ABO blood group compatibility","B","Rh-negative individuals lack the Rh antigen. If they receive Rh-positive blood, their immune system produces anti-Rh antibodies. A second exposure causes a severe haemolytic transfusion reaction. This is also critical in pregnancy (Rh incompatibility).","A: Rh-negative recipients CANNOT safely receive Rh-positive blood — they will form antibodies. C: Approximately 15% of humans are Rh-negative. D: Rh factor is a separate blood grouping system from ABO."
"163","Section D: Heredity and Variation","Chromosomal Disorders","Down's syndrome is caused by","a sex-linked recessive gene mutation","trisomy 21 — presence of three copies of chromosome 21","deletion of chromosome 21","translocation of chromosome 7","B","Down's syndrome (trisomy 21) results from non-disjunction during meiosis, producing a gamete with two copies of chromosome 21. When fertilised by a normal gamete, the zygote has 47 chromosomes (3 copies of chromosome 21 = trisomy 21).","A: Down's syndrome is a chromosomal abnormality, not a simple gene mutation. C: Deletion of chromosome 21 would cause other severe conditions. D: Chromosome 7 translocation is unrelated to Down's syndrome."
"164","Section D: Heredity and Variation","Mendelian Genetics","The phenotypic ratio obtained from the cross AaBb x AaBb (dihybrid cross, both genes unlinked) is","9:3:3:1","1:1:1:1","3:1","1:2:1","A","When two heterozygous dihybrid parents (AaBb x AaBb) are crossed, using Mendel's Law of Independent Assortment, the phenotypic ratio is 9 (A_B_) : 3 (A_bb) : 3 (aaB_) : 1 (aabb) = 9:3:3:1.","B: 1:1:1:1 results from a dihybrid testcross (AaBb x aabb). C: 3:1 is the ratio for a monohybrid cross. D: 1:2:1 is the genotypic ratio for a monohybrid cross."
"165","Section D: Heredity and Variation","Variation","The ability to roll the tongue (dominant) versus inability to roll the tongue (recessive) is an example of","continuous variation","sex-linked variation","discontinuous variation","polygenically controlled variation","C","Tongue rolling is a discontinuous variation — individuals either can roll their tongue or they cannot. There are no intermediates. It is controlled primarily by a single gene (though the genetics is more complex in reality).","A: Continuous variation produces a range (e.g. height). B: Tongue rolling is controlled by an autosomal gene, not sex-linked. D: Tongue rolling is typically single-gene (or oligogenic), not classically polygenic."
"166","Section D: Heredity and Variation","Cell Division","What is the significance of meiosis in heredity?","It produces identical daughter cells for growth and repair","It halves the chromosome number and introduces genetic variation through crossing over and independent assortment","It doubles the chromosome number","It occurs only in somatic (body) cells","B","Meiosis produces haploid gametes (half the chromosome number) — essential so that fertilisation restores the diploid number. Crossing over (in Prophase I) and independent assortment of chromosomes generates new allele combinations, driving genetic variation.","A: Mitosis produces identical daughter cells. C: Meiosis halves, not doubles, chromosome number. D: Meiosis occurs specifically in germ cells (gonads) to produce gametes."
"167","Section D: Heredity and Variation","Biotechnology","Interferon is a protein that has been produced through genetic engineering. It is used clinically to","treat sickle cell anaemia by replacing defective haemoglobin","enhance the immune system and treat viral infections and some cancers","supply missing clotting factors in haemophilia patients","supplement insulin for diabetic patients","B","Interferon is a signalling protein (cytokine) produced by cells in response to viral infection. Recombinant interferon is used clinically as an antiviral and immunomodulatory agent, including in treating hepatitis B, hepatitis C, multiple sclerosis, and some cancers.","A: Sickle cell anaemia is not treated with interferon — HbS gene therapy is being explored. C: Clotting factors (e.g. Factor VIII) are produced separately for haemophilia treatment. D: Insulin is a separate protein produced for diabetics."
"168","Section D: Heredity and Variation","Mendelian Genetics","In the law of independent assortment, genes for different traits assort independently during gamete formation if","they are located on the same chromosome","they are located on different (non-homologous) chromosomes","they are closely linked on the same chromosome","they are sex-linked genes","B","Mendel's Law of Independent Assortment applies when genes are located on different chromosomes (non-homologous) and therefore segregate independently during Meiosis I. Genes on the same chromosome (linked genes) do not assort independently unless far apart (crossing over).","A: Genes on the same chromosome tend to be inherited together (linked). C: Closely linked genes violate independent assortment. D: Sex-linked genes may or may not assort independently depending on their positions."
"169","Section D: Heredity and Variation","Genetic Disorders","In marriage counselling, a couple where the wife is HbSHbS and the husband is HbAHbS would be advised that","all their children will be normal (HbAHbA)","all their children will have sickle cell anaemia","half their children will have sickle cell anaemia and half will have sickle cell trait","the children's health status cannot be predicted","C","HbSHbS x HbAHbS: gametes from wife = all HbS; gametes from husband = HbA or HbS. Offspring: HbAHbS (trait) and HbSHbS (anaemia) in ratio 1:1 → 50% carrier, 50% anaemia.","A: No child can be HbAHbA — the wife has no HbA to give. B: Only 50% will have anaemia. D: Genetics allows precise prediction of probabilities."
"170","Section D: Heredity and Variation","Reproductive Technology","In vitro fertilisation (IVF) differs from natural fertilisation in that","IVF requires no egg or sperm cells","fertilisation occurs outside the body in a laboratory, and the embryo is then implanted into the uterus","IVF permanently alters the genetic makeup of the offspring","IVF involves fertilisation in the fallopian tube","B","In IVF, egg cells are retrieved from the ovaries, fertilised with sperm in a laboratory dish ('in vitro' = in glass), and the resulting embryo(s) are transferred into the uterus for implantation.","A: IVF uses the same egg and sperm cells as natural fertilisation. C: IVF does not inherently alter genes (though preimplantation genetic diagnosis can screen for genetic disorders). D: Natural fertilisation occurs in the fallopian tube; IVF fertilisation occurs in the laboratory."
